Year,Indicators,Value
2010,,
2010,Number of transactions reported by banking institutions,
2010,Number of transactions reported by non-banking institutions,
2011,,
2011,Number of transactions reported by banking institutions,
2011,Number of transactions reported by non-banking institutions,
2012,,
2012,Number of transactions reported by banking institutions,
2012,Number of transactions reported by non-banking institutions,
2013,,
2013,Number of transactions reported by banking institutions,
2013,Number of transactions reported by non-banking institutions,
2014,,
2014,Number of transactions reported by banking institutions,
2014,Number of transactions reported by non-banking institutions,
2015,,
2015,Number of transactions reported by banking institutions,
2015,Number of transactions reported by non-banking institutions,
2016,,
2016,Number of transactions reported by banking institutions,
2016,Number of transactions reported by non-banking institutions,
2017,,
2017,Number of transactions reported by banking institutions,
2017,Number of transactions reported by non-banking institutions,
2018,,1585852.0
2018,Number of transactions reported by banking institutions,1585852.0
2018,Number of transactions reported by non-banking institutions,0.0
2019,,24417.0
2019,Number of transactions reported by banking institutions,21003.0
2019,Number of transactions reported by non-banking institutions,3414.0
2020,,700.0
2020,Number of transactions reported by banking institutions,420.0
2020,Number of transactions reported by non-banking institutions,280.0
2021,,969.0
2021,Number of transactions reported by banking institutions,533.0
2021,Number of transactions reported by non-banking institutions,436.0
2022,,596.0
2022,Number of transactions reported by banking institutions,146.0
2022,Number of transactions reported by non-banking institutions,450.0
2023,,637.0
2023,Number of transactions reported by banking institutions,135.0
2023,Number of transactions reported by non-banking institutions,502.0
2024,,324.0
2024,Number of transactions reported by banking institutions,198.0
2024,Number of transactions reported by non-banking institutions,126.0
2025,,378.0
2025,Number of transactions reported by banking institutions,109.0
2025,Number of transactions reported by non-banking institutions,269.0
