Year,Sex,Age group,Area of residence,Educational level,Income level,Value
2010,,,,,,
2010,Men,,,,,
2010,Women,,,,,
2010,,18-29,,,,
2010,,30-44,,,,
2010,,45-59,,,,
2010,,60-74,,,,
2010,,,Urban,,,
2010,,,Rural,,,
2010,,,,Incomplete secondary education,,
2010,,,,General secondary education,,
2010,,,,Vocational secondary education,,
2010,,,,Higher education,,
2010,,,,,"Poors, 40 percent",
2010,,,,,"Wealthy, 60 percent",
2011,,,,,,
2011,Men,,,,,
2011,Women,,,,,
2011,,18-29,,,,
2011,,30-44,,,,
2011,,45-59,,,,
2011,,60-74,,,,
2011,,,Urban,,,
2011,,,Rural,,,
2011,,,,Incomplete secondary education,,
2011,,,,General secondary education,,
2011,,,,Vocational secondary education,,
2011,,,,Higher education,,
2011,,,,,"Poors, 40 percent",
2011,,,,,"Wealthy, 60 percent",
2012,,,,,,12.8
2012,Men,,,,,
2012,Women,,,,,
2012,,18-29,,,,
2012,,30-44,,,,
2012,,45-59,,,,
2012,,60-74,,,,
2012,,,Urban,,,
2012,,,Rural,,,
2012,,,,Incomplete secondary education,,
2012,,,,General secondary education,,
2012,,,,Vocational secondary education,,
2012,,,,Higher education,,
2012,,,,,"Poors, 40 percent",
2012,,,,,"Wealthy, 60 percent",
2013,,,,,,16.3
2013,Men,,,,,
2013,Women,,,,,
2013,,18-29,,,,
2013,,30-44,,,,
2013,,45-59,,,,
2013,,60-74,,,,
2013,,,Urban,,,
2013,,,Rural,,,
2013,,,,Incomplete secondary education,,
2013,,,,General secondary education,,
2013,,,,Vocational secondary education,,
2013,,,,Higher education,,
2013,,,,,"Poors, 40 percent",
2013,,,,,"Wealthy, 60 percent",
2014,,,,,,14.6
2014,Men,,,,,
2014,Women,,,,,
2014,,18-29,,,,
2014,,30-44,,,,
2014,,45-59,,,,
2014,,60-74,,,,
2014,,,Urban,,,
2014,,,Rural,,,
2014,,,,Incomplete secondary education,,
2014,,,,General secondary education,,
2014,,,,Vocational secondary education,,
2014,,,,Higher education,,
2014,,,,,"Poors, 40 percent",
2014,,,,,"Wealthy, 60 percent",
2015,,,,,,25.0
2015,Men,,,,,
2015,Women,,,,,
2015,,18-29,,,,
2015,,30-44,,,,
2015,,45-59,,,,
2015,,60-74,,,,
2015,,,Urban,,,
2015,,,Rural,,,
2015,,,,Incomplete secondary education,,
2015,,,,General secondary education,,
2015,,,,Vocational secondary education,,
2015,,,,Higher education,,
2015,,,,,"Poors, 40 percent",
2015,,,,,"Wealthy, 60 percent",
2016,,,,,,29.6
