Year,Age group / Sex,Value
2010,,
2010,15+ / Men,
2010,15+ / Women,
2011,,
2011,15+ / Men,
2011,15+ / Women,
2012,,
2012,15+ / Men,
2012,15+ / Women,
2013,,
2013,15+ / Men,
2013,15+ / Women,
2014,,
2014,15+ / Men,
2014,15+ / Women,
2015,,19.3
2015,15+ / Men,19.2
2015,15+ / Women,19.3
2016,,20.9
2016,15+ / Men,20.5
2016,15+ / Women,21.3
2017,,24.6
2017,15+ / Men,23.7
2017,15+ / Women,25.4
2018,,27.5
2018,15+ / Men,24.3
2018,15+ / Women,30.6
2019,,27.2
2019,15+ / Men,24.2
2019,15+ / Women,30.1
2020,,24.9
2020,15+ / Men,21.2
2020,15+ / Women,28.7
2021,,23.5
2021,15+ / Men,20.4
2021,15+ / Women,26.6
2022,,24.7
2022,15+ / Men,20.8
2022,15+ / Women,28.7
2023,,
2023,15+ / Men,
2023,15+ / Women,
2024,,
2024,15+ / Men,
2024,15+ / Women,
