Year,Indicators,Value
2010,Share,1.0
2010,"Area, thousand hectares (estimated)",20.0
2011,Share,1.0
2011,"Area, thousand hectares (estimated)",20.0
2012,Share,2.0
2012,"Area, thousand hectares (estimated)",40.0
2013,Share,3.0
2013,"Area, thousand hectares (estimated)",60.0
2014,Share,3.0
2014,"Area, thousand hectares (estimated)",60.0
2015,Share,3.5
2015,"Area, thousand hectares (estimated)",70.0
2016,Share,3.5
2016,"Area, thousand hectares (estimated)",70.0
2017,Share,3.5
2017,"Area, thousand hectares (estimated)",70.0
2018,Share,4.0
2018,"Area, thousand hectares (estimated)",80.0
2019,Share,4.0
2019,"Area, thousand hectares (estimated)",80.0
2020,Share,4.0
2020,"Area, thousand hectares (estimated)",80.0
2021,Share,5.0
2021,"Area, thousand hectares (estimated)",100.0
2022,Share,5.0
2022,"Area, thousand hectares (estimated)",100.0
2023,Share,6.0
2023,"Area, thousand hectares (estimated)",120.0
2024,Share,6.0
2024,"Area, thousand hectares (estimated)",120.0
2025,Share,
2025,"Area, thousand hectares (estimated)",
