Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,
2013,Men,
2013,Women,
2014,,
2014,Men,
2014,Women,
2015,,
2015,Men,
2015,Women,
2016,,
2016,Men,
2016,Women,
2017,,
2017,Men,
2017,Women,
2018,,
2018,Men,
2018,Women,
2019,,
2019,Men,
2019,Women,
2020,,0.084
2020,Men,0.109
2020,Women,0.06
2021,,0.95
2021,Men,0.741
2021,Women,1.141
2022,,0.417
2022,Men,0.276
2022,Women,0.543
2023,,0.35
2023,Men,0.243
2023,Women,0.447
2024,,0.346
2024,Men,0.404
2024,Women,0.294
