Year,Urban,Rural,Municipality Chisinau,North,Center,South,I,II,III,IV,V,Men,Women,Value
2010,,,,,,,,,,,,,,
2010,Area of residence,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,Statistical regions,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,Quintiles on consumption expenditures,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,,,,,,,,,,,Sex of the head of the household,,
2010,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,Area of residence,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,Statistical regions,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,Quintiles on consumption expenditures,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2011,,,,,,,,,,,,Sex of the head of the household,,
2011,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,Area of residence,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,Statistical regions,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,Quintiles on consumption expenditures,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
2012,,,,,,,,,,,,Sex of the head of the household,,
2012,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,Area of residence,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,Statistical regions,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,Quintiles on consumption expenditures,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,,,,,,,,,,,Sex of the head of the household,,
2013,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,38.7
2014,Area of residence,,,,,,,,,,,,,76.5
2014,,,,,,,,,,,,,,11.5
2014,,,Statistical regions,,,,,,,,,,,88.7
2014,,,,,,,,,,,,,,22.9
2014,,,,,,,,,,,,,,21.9
2014,,,,,,,,,,,,,,25.7
2014,,,,,,,Quintiles on consumption expenditures,,,,,,,12.2
2014,,,,,,,,,,,,,,25.3
2014,,,,,,,,,,,,,,35.8
2014,,,,,,,,,,,,,,51.9
2014,,,,,,,,,,,,,,68.3
2014,,,,,,,,,,,,Sex of the head of the household,,36.9
2014,,,,,,,,,,,,,,42.3
2015,,,,,,,,,,,,,,40.7
2015,Area of residence,,,,,,,,,,,,,79.5
2015,,,,,,,,,,,,,,12.9
2015,,,Statistical regions,,,,,,,,,,,88.6
2015,,,,,,,,,,,,,,26.3
2015,,,,,,,,,,,,,,25.3
