Year,Type of renewable technology,Value
2010,,20.67
2010,0.83,20.67
2010,0.0,0.0
2010,0.0,0.0
2010,125.3,0.0
2010,43.77,0.0
2010,0.0,0.0
2011,,3.25
2011,0.83,0.02
2011,0.0,0.0
2011,0.0,0.0
2011,125.3,0.0
2011,43.77,3.23
2011,0.0,0.0
2012,,3.59
2012,0.83,0.11
2012,0.0,0.0
2012,0.0,0.0
2012,125.3,0.31
2012,43.77,0.0
2012,0.0,3.16
2013,,23.58
2013,0.83,22.43
2013,0.0,0.0
2013,0.0,0.0
2013,125.3,1.15
2013,43.77,0.0
2013,0.0,0.0
2014,,1.71
2014,0.83,0.03
2014,0.0,0.0
2014,0.0,0.0
2014,125.3,1.65
2014,43.77,0.03
2014,0.0,0.0
2015,,0.6
2015,0.83,0.02
2015,0.0,0.0
2015,0.0,0.0
2015,125.3,0.5
2015,43.77,0.09
2015,0.0,0.0
2016,,0.29
2016,0.83,0.0
2016,0.0,0.0
2016,0.0,0.0
2016,125.3,0.02
2016,43.77,0.27
2016,0.0,0.0
2017,,0.26
2017,0.83,0.0
2017,0.0,0.0
2017,0.0,0.0
2017,125.3,25.95
2017,43.77,0.05
2017,0.0,0.0
2018,,0.11
2018,0.83,0.0
2018,0.0,0.0
2018,0.0,0.0
2018,125.3,0.01
2018,43.77,0.11
2018,0.0,0.0
2019,,0.25
2019,0.83,0.0
2019,0.0,0.0
2019,0.0,0.0
2019,125.3,0.12
2019,43.77,0.06
2019,0.0,0.06
2020,,0.1
2020,0.83,0.0
2020,0.0,0.0
2020,0.0,0.0
2020,125.3,0.06
2020,43.77,0.04
2020,0.0,0.0
2021,,0.92
2021,0.83,0.0
2021,0.0,0.0
2021,0.0,0.0
2021,125.3,0.06
2021,43.77,0.3
2021,0.0,0.0
2022,,26.08
2022,0.83,0.0
2022,0.0,0.0
2022,0.0,0.0
2022,125.3,18.85
2022,43.77,0.82
2022,0.0,0.0
2023,,15.3
2023,0.83,0.0
2023,0.0,0.0
2023,0.0,0.0
2023,125.3,35.31
2023,43.77,1.51
2023,0.0,0.0
2024,,169.89
2024,0.83,0.83
2024,0.0,0.0
2024,0.0,0.0
2024,125.3,125.3
2024,43.77,43.77
2024,0.0,0.0
