Year,Value,Units,Series
2010,,Percent,Proportion of managerial positions held by women
2010,,Percent,Proportion of women in senior and middle management positions
2011,,Percent,Proportion of managerial positions held by women
2011,,Percent,Proportion of women in senior and middle management positions
2012,,Percent,Proportion of managerial positions held by women
2012,,Percent,Proportion of women in senior and middle management positions
2013,,Percent,Proportion of managerial positions held by women
2013,,Percent,Proportion of women in senior and middle management positions
2014,42.6,Percent,Proportion of managerial positions held by women
2014,43.7,Percent,Proportion of women in senior and middle management positions
2015,48.5,Percent,Proportion of managerial positions held by women
2015,48.8,Percent,Proportion of women in senior and middle management positions
2016,46.6,Percent,Proportion of managerial positions held by women
2016,46.3,Percent,Proportion of women in senior and middle management positions
2017,41.5,Percent,Proportion of managerial positions held by women
2017,45.5,Percent,Proportion of women in senior and middle management positions
2018,40.3,Percent,Proportion of managerial positions held by women
2018,43.1,Percent,Proportion of women in senior and middle management positions
2019,45.7,Percent,Proportion of managerial positions held by women
2019,46.8,Percent,Proportion of women in senior and middle management positions
2020,42.3,Percent,Proportion of managerial positions held by women
2020,45.2,Percent,Proportion of women in senior and middle management positions
2021,44.6,Percent,Proportion of managerial positions held by women
2021,52.0,Percent,Proportion of women in senior and middle management positions
2022,44.6,Percent,Proportion of managerial positions held by women
2022,47.3,Percent,Proportion of women in senior and middle management positions
