Year,Value
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2014,62.8
2014,41.2
2014,42.9
2014,52.5
2014,63.8
2014,52.2
2014,61.1
2014,79.5
2014,87.2
2014,61.4
2014,30.4
2015,66.6
2015,47.0
2015,50.1
2015,54.2
2015,71.2
2015,58.6
2015,65.4
2015,81.5
2015,91.4
2015,65.3
2015,34.7
2016,67.1
2016,48.8
2016,48.6
2016,57.1
2016,70.5
2016,56.4
2016,69.3
2016,79.5
2016,90.8
2016,66.2
2016,33.7
2017,69.5
2017,52.6
2017,53.9
2017,61.6
2017,69.7
2017,60.5
2017,71.3
2017,83.7
2017,92.0
2017,68.6
2017,35.3
2018,72.3
2018,56.3
2018,55.6
2018,66.2
2018,74.9
2018,66.1
2018,74.5
2018,83.2
2018,92.0
2018,71.0
2018,37.0
2019,74.5
2019,60.6
2019,62.7
2019,70.8
2019,68.4
2019,69.3
2019,77.9
2019,85.8
2019,93.4
2019,71.7
2019,41.8
2020,77.6
2020,64.9
2020,65.3
2020,73.9
2020,75.5
2020,70.1
2020,78.1
2020,86.7
2020,95.8
2020,73.7
2020,44.6
2021,80.4
2021,69.7
2021,69.4
2021,76.9
2021,79.8
2021,73.8
2021,83.7
2021,88.9
2021,96.4
2021,77.7
2021,47.2
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
