Year,Residence area,Sex,Age group,Value
2010.0,,,,
2010.0,Urban,,,
2010.0,Rural,,,
2010.0,,Men,,
2010.0,,Women,,
2010.0,,,0-17,
2010.0,,,18-29,
2010.0,,,30-39,
2010.0,,,40-49,
2010.0,,,50-59,
2010.0,,,60+,
2011.0,,,,
2011.0,Urban,,,
2011.0,Rural,,,
2011.0,,Men,,
2011.0,,Women,,
2011.0,,,0-17,
2011.0,,,18-29,
2011.0,,,30-39,
2011.0,,,40-49,
2011.0,,,50-59,
2011.0,,,60+,
2012.0,,,,
2012.0,Urban,,,
2012.0,Rural,,,
2012.0,,Men,,
2012.0,,Women,,
2012.0,,,0-17,
2012.0,,,18-29,
2012.0,,,30-39,
2012.0,,,40-49,
2012.0,,,50-59,
2012.0,,,60+,
2013.0,,,,
2013.0,Urban,,,
2013.0,Rural,,,
2013.0,,Men,,
2013.0,,Women,,
2013.0,,,0-17,
2013.0,,,18-29,
2013.0,,,30-39,
2013.0,,,40-49,
2013.0,,,50-59,
2013.0,,,60+,
2014.0,,,,29.5
2014.0,Urban,,,15.6
2014.0,Rural,,,39.5
2014.0,,Men,,30.4
2014.0,,Women,,28.7
2014.0,,,0-17,32.9
2014.0,,,18-29,25.4
2014.0,,,30-39,29.1
2014.0,,,40-49,27.5
2014.0,,,50-59,27.0
2014.0,,,60+,33.4
2015.0,,,,25.4
2015.0,Urban,,,11.2
2015.0,Rural,,,35.6
2015.0,,Men,,26.5
2015.0,,Women,,24.4
2015.0,,,0-17,27.7
2015.0,,,18-29,22.6
2015.0,,,30-39,22.4
2015.0,,,40-49,24.7
2015.0,,,50-59,24.2
2015.0,,,60+,28.8
2016.0,,,,26.4
2016.0,Urban,,,11.6
2016.0,Rural,,,37.1
2016.0,,Men,,26.8
2016.0,,Women,,26.1
2016.0,,,0-17,28.7
2016.0,,,18-29,20.9
2016.0,,,30-39,22.9
2016.0,,,40-49,26.6
2016.0,,,50-59,25.1
2016.0,,,60+,31.6
2017.0,,,,27.7
2017.0,Urban,,,11.8
2017.0,Rural,,,38.8
2017.0,,Men,,28.8
2017.0,,Women,,26.7
2017.0,,,0-17,30.9
2017.0,,,18-29,26.1
2017.0,,,30-39,22.3
2017.0,,,40-49,29.1
2017.0,,,50-59,24.1
2017.0,,,60+,31.0
2018.0,,,,23.0
2018.0,Urban,,,10.6
2018.0,Rural,,,31.5
2018.0,,Men,,23.3
2018.0,,Women,,22.6
2018.0,,,0-17,24.4
2018.0,,,18-29,21.5
2018.0,,,30-39,20.3
2018.0,,,40-49,23.1
2018.0,,,50-59,21.0
2018.0,,,60+,25.4
2019.0,,,,25.2
2019.0,Urban,,,11.2
2019.0,Rural,,,34.5
2019.0,,Men,,24.8
2019.0,,Women,,25.6
2019.0,,,0-17,24.0
2019.0,,,18-29,21.6
2019.0,,,30-39,19.2
2019.0,,,40-49,23.8
2019.0,,,50-59,20.7
2019.0,,,60+,36.8
2020.0,,,,26.8
2020.0,Urban,,,14.0
2020.0,Rural,,,35.3
2020.0,,Men,,26.7
2020.0,,Women,,26.9
2020.0,,,0-17,26.0
2020.0,,,18-29,21.6
2020.0,,,30-39,21.2
2020.0,,,40-49,23.1
2020.0,,,50-59,24.8
2020.0,,,60+,37.2
2021.0,,,,24.5
2021.0,Urban,,,11.9
2021.0,Rural,,,32.8
2021.0,,Men,,24.3
2021.0,,Women,,24.7
2021.0,,,0-17,24.4
2021.0,,,18-29,18.1
2021.0,,,30-39,19.6
2021.0,,,40-49,21.3
2021.0,,,50-59,19.3
2021.0,,,60+,35.9
2022.0,,,,
2022.0,Urban,,,
2022.0,Rural,,,
2022.0,,Men,,
2022.0,,Women,,
2022.0,,,0-17,
2022.0,,,18-29,
2022.0,,,30-39,
2022.0,,,40-49,
2022.0,,,50-59,
2022.0,,,60+,
,,,,
,Urban,,,
,Rural,,,
,,Men,,
,,Women,,
,,,0-17,
,,,18-29,
,,,30-39,
,,,40-49,
,,,50-59,
,,,60+,
,,,,
,Urban,,,
,Rural,,,
,,Men,,
,,Women,,
,,,0-17,
,,,18-29,
,,,30-39,
,,,40-49,
,,,50-59,
,,,60+,
