Year,Status,Mediul de reședință,Value
2010,,,
2010,Asigurați,,
2010,Neasigurați,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Asigurați,,
2011,Neasigurați,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Asigurați,,
2012,Neasigurați,,
2012,,Urban,
2012,,Rural,
2013,,,
2013,Asigurați,,
2013,Neasigurați,,
2013,,Urban,
2013,,Rural,
2014,,,70.4
2014,Asigurați,,36.2
2014,Neasigurați,,34.1
2014,,Urban,
2014,,Rural,
2015,,,69.0
2015,Asigurați,,37.7
2015,Neasigurați,,31.3
2015,,Urban,
2015,,Rural,
2016,,,70.0
2016,Asigurați,,39.7
2016,Neasigurați,,30.4
2016,,Urban,
2016,,Rural,
2017,,,71.6
2017,Asigurați,,42.4
2017,Neasigurați,,29.2
2017,,Urban,
2017,,Rural,
2018,,,82.1
2018,Asigurați,,45.9
2018,Neasigurați,,36.3
2018,,Urban,
2018,,Rural,
2019,,,93.5
2019,Asigurați,,52.0
2019,Neasigurați,,41.5
2019,,Urban,
2019,,Rural,
2020,,,94.1
2020,Asigurați,,55.7
2020,Neasigurați,,38.3
2020,,Urban,
2020,,Rural,
2021,,,97.8
2021,Asigurați,,57.7
2021,Neasigurați,,40.1
2021,,Urban,
2021,,Rural,
2022,,,87.0
2022,Asigurați,,50.9
2022,Neasigurați,,36.1
2022,,Urban,
2022,,Rural,
