Year,Sex,Grupa de vârstă,Value
2010,,,15.0
2010,Bărbați,,13.5
2010,Femei,,16.5
2010,,<24,4.4
2010,,25-34,8.3
2010,,35-44,14.9
2010,,45-54,29.7
2010,,55>,35.8
2011,,,14.2
2011,Bărbați,,13.3
2011,Femei,,15.1
2011,,<24,3.0
2011,,25-34,7.3
2011,,35-44,14.7
2011,,45-54,28.4
2011,,55>,31.0
2012,,,14.9
2012,Bărbați,,15.1
2012,Femei,,14.8
2012,,<24,1.9
2012,,25-34,7.3
2012,,35-44,14.9
2012,,45-54,30.3
2012,,55>,35.6
2013,,,14.6
2013,Bărbați,,14.5
2013,Femei,,14.7
2013,,<24,1.5
2013,,25-34,7.0
2013,,35-44,14.2
2013,,45-54,30.2
2013,,55>,33.3
2014,,,11.9
2014,Bărbați,,11.2
2014,Femei,,12.6
2014,,<24,1.6
2014,,25-34,5.4
2014,,35-44,11.7
2014,,45-54,23.5
2014,,55>,25.9
2015,,,10.2
2015,Bărbați,,9.8
2015,Femei,,10.6
2015,,<24,1.9
2015,,25-34,5.5
2015,,35-44,10.4
2015,,45-54,18.1
2015,,55>,22.3
2016,,,11.6
2016,Bărbați,,9.9
2016,Femei,,13.5
2016,,<24,2.3
2016,,25-34,7.0
2016,,35-44,11.1
2016,,45-54,20.5
2016,,55>,24.3
2017,,,10.6
2017,Bărbați,,9.0
2017,Femei,,12.4
2017,,<24,1.8
2017,,25-34,5.9
2017,,35-44,10.3
2017,,45-54,18.9
2017,,55>,20.4
2018,,,10.1
2018,Bărbați,,8.7
2018,Femei,,11.6
2018,,<24,
2018,,25-34,
2018,,35-44,
2018,,45-54,
2018,,55>,
2019,,,11.2
2019,Bărbați,,10.4
2019,Femei,,13.0
2019,,<24,
2019,,25-34,
2019,,35-44,
2019,,45-54,
2019,,55>,
2020,,,16.1
2020,Bărbați,,14.6
2020,Femei,,17.6
2020,,<24,7.7
2020,,25-34,13.8
2020,,35-44,16.2
2020,,45-54,17.7
2020,,55>,20.7
2021,,,17.0
2021,Bărbați,,15.3
2021,Femei,,18.7
2021,,<24,4.0
2021,,25-34,11.3
2021,,35-44,16.1
2021,,45-54,20.3
2021,,55>,25.4
2022,,,13.5
2022,Bărbați,,11.6
2022,Femei,,15.5
2022,,<24,2.9
2022,,25-34,9.9
2022,,35-44,13.2
2022,,45-54,15.9
2022,,55>,17.3
