Year,Mediu de reședință,"Quintila I, pe medii",Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,"Total, quintila I",
2010,,"Urban, quintila I",
2010,,"Rural, quintila I",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,"Total, quintila I",
2011,,"Urban, quintila I",
2011,,"Rural, quintila I",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,"Total, quintila I",
2012,,"Urban, quintila I",
2012,,"Rural, quintila I",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,"Total, quintila I",
2013,,"Urban, quintila I",
2013,,"Rural, quintila I",
2014,,,
2014,Urban,,
2014,Rural,,
2014,,"Total, quintila I",
2014,,"Urban, quintila I",
2014,,"Rural, quintila I",
2015,,,
2015,Urban,,
2015,Rural,,
2015,,"Total, quintila I",
2015,,"Urban, quintila I",
2015,,"Rural, quintila I",
2016,,,
2016,Urban,,
2016,Rural,,
2016,,"Total, quintila I",
2016,,"Urban, quintila I",
2016,,"Rural, quintila I",
2017,,,
2017,Urban,,
2017,Rural,,
2017,,"Total, quintila I",
2017,,"Urban, quintila I",
2017,,"Rural, quintila I",
2018,,,
2018,Urban,,
2018,Rural,,
2018,,"Total, quintila I",
2018,,"Urban, quintila I",
2018,,"Rural, quintila I",
2019,,,
2019,Urban,,
2019,Rural,,
2019,,"Total, quintila I",
2019,,"Urban, quintila I",
2019,,"Rural, quintila I",
2020,,,
2020,Urban,,
2020,Rural,,
2020,,"Total, quintila I",
2020,,"Urban, quintila I",
2020,,"Rural, quintila I",
2021,,,
2021,Urban,,
2021,Rural,,
2021,,"Total, quintila I",
2021,,"Urban, quintila I",
2021,,"Rural, quintila I",
2022,,,
2022,Urban,,
2022,Rural,,
2022,,"Total, quintila I",
2022,,"Urban, quintila I",
2022,,"Rural, quintila I",
2023,,,
2023,Urban,,
2023,Rural,,
2023,,"Total, quintila I",
2023,,"Urban, quintila I",
2023,,"Rural, quintila I",
2024,,,
2024,Urban,,
2024,Rural,,
2024,,"Total, quintila I",
2024,,"Urban, quintila I",
2024,,"Rural, quintila I",
2025,,,66.4
2025,Urban,,64.8
2025,Rural,,67.9
2025,,"Total, quintila I",78.6
2025,,"Urban, quintila I",79.1
2025,,"Rural, quintila I",78.5
