Year,Clase SE,Grupa de vârstă,Sex,Districts,Value
2010,,,,,
2010,Tehnogen,,,,
2010,Natural (pe genuri),,,,
2010,Biologico-social,,,,
2010,Incendii,,,,
2010,,0-17 ani,,,
2010,,18 ani și peste,,,
2010,,,Bărbați,,
2010,,,Femei,,
2010,,,,Mun. Chișinău,
2010,,,,Nord,
2010,,,,mun. Balti,
2010,,,,Briceni,
2010,,,,Donduseni,
2010,,,,Drochia,
2010,,,,Edinet,
2010,,,,Falesti,
2010,,,,Floresti,
2010,,,,Glodeni,
2010,,,,Ocnita,
2010,,,,Rascani,
2010,,,,Sangerei,
2010,,,,Soroca,
2010,,,,Centre,
2010,,,,Anenii Noi,
2010,,,,Calarasi,
2010,,,,Criuleni,
2010,,,,Dubasari,
2010,,,,Hancesti,
2010,,,,Ialoveni,
2010,,,,Nisporeni,
2010,,,,Orhei,
2010,,,,Rezina,
2010,,,,Straseni,
2010,,,,Soldanesti,
2010,,,,Telenesti,
2010,,,,Ungheni,
2010,,,,Sud,
2010,,,,Basarabeasca,
2010,,,,Cahul,
2010,,,,Cantemir,
2010,,,,Causeni,
2010,,,,Cimislia,
2010,,,,Leova,
2010,,,,Stefan Voda,
2010,,,,Taraclia,
2010,,,,UTA Găgăuzia,
2011,,,,,
2011,Tehnogen,,,,
2011,Natural (pe genuri),,,,
2011,Biologico-social,,,,
2011,Incendii,,,,
2011,,0-17 ani,,,
2011,,18 ani și peste,,,
2011,,,Bărbați,,
2011,,,Femei,,
2011,,,,Mun. Chișinău,
2011,,,,Nord,
2011,,,,mun. Balti,
2011,,,,Briceni,
2011,,,,Donduseni,
2011,,,,Drochia,
2011,,,,Edinet,
2011,,,,Falesti,
2011,,,,Floresti,
2011,,,,Glodeni,
2011,,,,Ocnita,
2011,,,,Rascani,
2011,,,,Sangerei,
2011,,,,Soroca,
2011,,,,Centre,
2011,,,,Anenii Noi,
2011,,,,Calarasi,
2011,,,,Criuleni,
2011,,,,Dubasari,
2011,,,,Hancesti,
2011,,,,Ialoveni,
2011,,,,Nisporeni,
2011,,,,Orhei,
2011,,,,Rezina,
2011,,,,Straseni,
2011,,,,Soldanesti,
2011,,,,Telenesti,
2011,,,,Ungheni,
2011,,,,Sud,
2011,,,,Basarabeasca,
2011,,,,Cahul,
2011,,,,Cantemir,
2011,,,,Causeni,
2011,,,,Cimislia,
2011,,,,Leova,
2011,,,,Stefan Voda,
2011,,,,Taraclia,
2011,,,,UTA Găgăuzia,
2012,,,,,
2012,Tehnogen,,,,
2012,Natural (pe genuri),,,,
2012,Biologico-social,,,,
2012,Incendii,,,,
2012,,0-17 ani,,,
2012,,18 ani și peste,,,
2012,,,Bărbați,,
2012,,,Femei,,
2012,,,,Mun. Chișinău,
2012,,,,Nord,
2012,,,,mun. Balti,
2012,,,,Briceni,
2012,,,,Donduseni,
2012,,,,Drochia,
2012,,,,Edinet,
2012,,,,Falesti,
2012,,,,Floresti,
2012,,,,Glodeni,
2012,,,,Ocnita,
2012,,,,Rascani,
2012,,,,Sangerei,
2012,,,,Soroca,
2012,,,,Centre,
2012,,,,Anenii Noi,
2012,,,,Calarasi,
2012,,,,Criuleni,
2012,,,,Dubasari,
2012,,,,Hancesti,
2012,,,,Ialoveni,
2012,,,,Nisporeni,
2012,,,,Orhei,
2012,,,,Rezina,
2012,,,,Straseni,
2012,,,,Soldanesti,
2012,,,,Telenesti,
2012,,,,Ungheni,
2012,,,,Sud,
2012,,,,Basarabeasca,
2012,,,,Cahul,
2012,,,,Cantemir,
2012,,,,Causeni,
2012,,,,Cimislia,
2012,,,,Leova,
2012,,,,Stefan Voda,
2012,,,,Taraclia,
2012,,,,UTA Găgăuzia,
2013,,,,,
2013,Tehnogen,,,,
2013,Natural (pe genuri),,,,
2013,Biologico-social,,,,
2013,Incendii,,,,
2013,,0-17 ani,,,
2013,,18 ani și peste,,,
2013,,,Bărbați,,
2013,,,Femei,,
2013,,,,Mun. Chișinău,
2013,,,,Nord,
2013,,,,mun. Balti,
2013,,,,Briceni,
2013,,,,Donduseni,
2013,,,,Drochia,
2013,,,,Edinet,
2013,,,,Falesti,
2013,,,,Floresti,
2013,,,,Glodeni,
2013,,,,Ocnita,
2013,,,,Rascani,
2013,,,,Sangerei,
2013,,,,Soroca,
2013,,,,Centre,
2013,,,,Anenii Noi,
2013,,,,Calarasi,
2013,,,,Criuleni,
