Year,Source,Value
2010,Platforma pentru gestionarea asistenței externe (AMP),0.0
2010,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,339.0
2011,Platforma pentru gestionarea asistenței externe (AMP),0.0
2011,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,
2012,Platforma pentru gestionarea asistenței externe (AMP),0.1
2012,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,469.0
2013,Platforma pentru gestionarea asistenței externe (AMP),13.1
2013,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,299.9
2014,Platforma pentru gestionarea asistenței externe (AMP),15.4
2014,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,452.0
2015,Platforma pentru gestionarea asistenței externe (AMP),75.9
2015,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,331.6
2016,Platforma pentru gestionarea asistenței externe (AMP),111.1
2016,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,440.0
2017,Platforma pentru gestionarea asistenței externe (AMP),56.3
2017,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,
2018,Platforma pentru gestionarea asistenței externe (AMP),62.1
2018,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,120.0
2019,Platforma pentru gestionarea asistenței externe (AMP),173.9
2019,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,312.1
2020,Platforma pentru gestionarea asistenței externe (AMP),236.3
2020,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,692.6
2021,Platforma pentru gestionarea asistenței externe (AMP),497.1
2021,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,889.7
2022,Platforma pentru gestionarea asistenței externe (AMP),697.3
2022,Rapoarte anuale privind asistența externă a Ministerului Finanțelor,
