Year,"Deșeuri toxice, pe regiuni de dezvoltare","Deșeuri toxice, pe clase de toxicitate",Value
2010,,,
2010,Total ,,187.0
2010,Municipiul Chișinău,,79.7
2010,Nord,,51.4
2010,Centru,,41.4
2010,Sud,,174.7
2010,UTA Găgăuzia,,
2010,,I,523.9
2010,,II,111.7
2010,,III,305.6
2010,,IV,232.5
2011,,,
2011,Total ,,190.5
2011,Municipiul Chișinău,,68.5
2011,Nord,,34.3
2011,Centru,,220.2
2011,Sud,,19577.8
2011,UTA Găgăuzia,,
2011,,I,624.3
2011,,II,81.3
2011,,III,28.8
2011,,IV,274.6
2012,,,
2012,Total ,,175.6
2012,Municipiul Chișinău,,60.7
2012,Nord,,50.8
2012,Centru,,105.9
2012,Sud,,9002.0
2012,UTA Găgăuzia,,
2012,,I,460.0
2012,,II,96.4
2012,,III,11.7
2012,,IV,556.9
2013,,,
2013,Total ,,137.2
2013,Municipiul Chișinău,,29.7
2013,Nord,,14.2
2013,Centru,,217.2
2013,Sud,,5187.5
2013,UTA Găgăuzia,,
2013,,I,46.4
2013,,II,103.1
2013,,III,6.3
2013,,IV,429.8
2014,,,
2014,Total ,,144.8
2014,Municipiul Chișinău,,75.2
2014,Nord,,29.0
2014,Centru,,5.1
2014,Sud,,3618.0
2014,UTA Găgăuzia,,
2014,,I,20.5
2014,,II,66.4
2014,,III,25.5
2014,,IV,1270.6
2015,,,
2015,Total ,,26.14
2015,Municipiul Chișinău,,6.8
2015,Nord,,17.6
2015,Centru,,3.5
2015,Sud,,256.2
2015,UTA Găgăuzia,,633.3
2015,,I,0.9
2015,,II,12.4
2015,,III,54.7
2015,,IV,29.4
2016,,,
2016,Total ,,113.5
2016,Municipiul Chișinău,,36.6
2016,Nord,,16.4
2016,Centru,,64.3
2016,Sud,,1858.2
2016,UTA Găgăuzia,,2100.0
2016,,I,0.0
2016,,II,94.7
2016,,III,46.0
2016,,IV,461.5
2017,,,
2017,Total ,,453.9
2017,Municipiul Chișinău,,497.5
2017,Nord,,10.0
2017,Centru,,17.5
2017,Sud,,13871.7
2017,UTA Găgăuzia,,
2017,,I,
2017,,II,149.5
2017,,III,107.4
2017,,IV,714.6
2018,,,
2018,Total ,,109.3
2018,Municipiul Chișinău,,18.1
2018,Nord,,29.5
2018,Centru,,134.8
2018,Sud,,5989.6
2018,UTA Găgăuzia,,
2018,,I,50.6
2018,,II,32.6
2018,,III,207.7
2018,,IV,639.4
2019,,,
2019,Total ,,110.5
2019,Municipiul Chișinău,,98.1
2019,Nord,,4.5
2019,Centru,,56.8
2019,Sud,,1960.9
2019,UTA Găgăuzia,,
2019,,I,19.3
2019,,II,115.8
2019,,III,805.6
2019,,IV,82.5
2020,,,487.9
2020,Total ,,
2020,Municipiul Chișinău,,
2020,Nord,,
2020,Centru,,
2020,Sud,,
2020,UTA Găgăuzia,,
2020,,I,
2020,,II,
2020,,III,
2020,,IV,
2021,,,155.7
2021,Total ,,
2021,Municipiul Chișinău,,
2021,Nord,,
2021,Centru,,
2021,Sud,,
2021,UTA Găgăuzia,,
2021,,I,
2021,,II,
2021,,III,
2021,,IV,
2022,,,
2022,Total ,,
2022,Municipiul Chișinău,,
2022,Nord,,
2022,Centru,,
2022,Sud,,
2022,UTA Găgăuzia,,
2022,,I,
2022,,II,
2022,,III,
2022,,IV,
