Year,Tipuri ecosisteme,Value
2010,,4.65
2010,Zone umede de importanţă internaţională,2.22
2010,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.43
2011,,4.65
2011,Zone umede de importanţă internaţională,2.22
2011,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.43
2012,,4.65
2012,Zone umede de importanţă internaţională,2.22
2012,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.43
2013,,5.61
2013,Zone umede de importanţă internaţională,2.22
2013,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2014,,5.61
2014,Zone umede de importanţă internaţională,2.22
2014,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2015,,5.61
2015,Zone umede de importanţă internaţională,2.22
2015,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2016,,5.61
2016,Zone umede de importanţă internaţională,2.22
2016,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2017,,5.61
2017,Zone umede de importanţă internaţională,2.22
2017,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2018,,5.61
2018,Zone umede de importanţă internaţională,2.22
2018,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2019,,5.61
2019,Zone umede de importanţă internaţională,2.22
2019,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2020,,5.61
2020,Zone umede de importanţă internaţională,2.22
2020,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2021,,5.61
2021,Zone umede de importanţă internaţională,2.22
2021,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",3.39
2022,,5.61
2022,Zone umede de importanţă internaţională,2.22
2022,"Altele (arii cu management multifuncţional,  rezervaţiile de resurse, rezervaţii peisajere, rezervaţii naturale etc.)",2.22
