Year,Tipuri de infracțiuni,Sex,Grupa de vârstă,Forme de violență,Value
2010,,,,,
2010,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,
2010,Răpirea unei persoane (art. 164),,,,
2010,Agresiune sexuală (art. 171-1751),,,,
2010,Jaf (art. 187),,,,
2010,Tâlhăria (art. 188),,,,
2010,Șantajul (art. 189),,,,
2010,Violenţa în familie (art.2011),,,,
2010,Huliganismul (art.287),,,,
2010,,Bărbați,,,
2010,,Femei,,,
2010,,,0-17 ani,,
2010,,,18 ani și peste,,
2010,,,,Violență psihologică,
2010,,,,Violență fizică,
2010,,,,Violență sexuală,
2011,,,,,
2011,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,
2011,Răpirea unei persoane (art. 164),,,,
2011,Agresiune sexuală (art. 171-1751),,,,
2011,Jaf (art. 187),,,,
2011,Tâlhăria (art. 188),,,,
2011,Șantajul (art. 189),,,,
2011,Violenţa în familie (art.2011),,,,
2011,Huliganismul (art.287),,,,
2011,,Bărbați,,,
2011,,Femei,,,
2011,,,0-17 ani,,
2011,,,18 ani și peste,,
2011,,,,Violență psihologică,
2011,,,,Violență fizică,
2011,,,,Violență sexuală,
2012,,,,,
2012,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,
2012,Răpirea unei persoane (art. 164),,,,
2012,Agresiune sexuală (art. 171-1751),,,,
2012,Jaf (art. 187),,,,
2012,Tâlhăria (art. 188),,,,
2012,Șantajul (art. 189),,,,
2012,Violenţa în familie (art.2011),,,,
2012,Huliganismul (art.287),,,,
2012,,Bărbați,,,
2012,,Femei,,,
2012,,,0-17 ani,,
2012,,,18 ani și peste,,
2012,,,,Violență psihologică,
2012,,,,Violență fizică,
2012,,,,Violență sexuală,
2013,,,,,
2013,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,
2013,Răpirea unei persoane (art. 164),,,,
2013,Agresiune sexuală (art. 171-1751),,,,
2013,Jaf (art. 187),,,,
2013,Tâlhăria (art. 188),,,,
2013,Șantajul (art. 189),,,,
2013,Violenţa în familie (art.2011),,,,
2013,Huliganismul (art.287),,,,
2013,,Bărbați,,,
2013,,Femei,,,
2013,,,0-17 ani,,
2013,,,18 ani și peste,,
2013,,,,Violență psihologică,
2013,,,,Violență fizică,
2013,,,,Violență sexuală,
2014,,,,,98.3
2014,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,4.6
2014,Răpirea unei persoane (art. 164),,,,1.5
2014,Agresiune sexuală (art. 171-1751),,,,9.5
2014,Jaf (art. 187),,,,22.7
2014,Tâlhăria (art. 188),,,,2.2
2014,Șantajul (art. 189),,,,1.2
2014,Violenţa în familie (art.2011),,,,30.3
2014,Huliganismul (art.287),,,,25.4
2014,,Bărbați,,,96.9
2014,,Femei,,,99.5
2014,,,0-17 ani,,41.8
2014,,,18 ani și peste,,113.7
2014,,,,Violență psihologică,7.3
2014,,,,Violență fizică,31.7
2014,,,,Violență sexuală,9.5
2015,,,,,116.1
2015,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,4.7
2015,Răpirea unei persoane (art. 164),,,,1.4
2015,Agresiune sexuală (art. 171-1751),,,,10.9
2015,Jaf (art. 187),,,,24.8
2015,Tâlhăria (art. 188),,,,2.6
2015,Șantajul (art. 189),,,,0.6
2015,Violenţa în familie (art.2011),,,,39.4
2015,Huliganismul (art.287),,,,29.8
2015,,Bărbați,,,112.6
2015,,Femei,,,119.3
2015,,,0-17 ani,,53.0
2015,,,18 ani și peste,,133.3
2015,,,,Violență psihologică,11.5
2015,,,,Violență fizică,39.3
2015,,,,Violență sexuală,10.9
2016,,,,,133.5
2016,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,5.7
2016,Răpirea unei persoane (art. 164),,,,1.4
2016,Agresiune sexuală (art. 171-1751),,,,13.3
2016,Jaf (art. 187),,,,26.8
2016,Tâlhăria (art. 188),,,,2.8
2016,Șantajul (art. 189),,,,1.2
2016,Violenţa în familie (art.2011),,,,38.7
2016,Huliganismul (art.287),,,,39.6
2016,,Bărbați,,,139.5
2016,,Femei,,,128.0
2016,,,0-17 ani,,51.8
2016,,,18 ani și peste,,156.1
2016,,,,Violență psihologică,20.6
2016,,,,Violență fizică,56.9
2016,,,,Violență sexuală,13.3
2017,,,,,118.5
2017,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,5.6
2017,Răpirea unei persoane (art. 164),,,,1.2
2017,Agresiune sexuală (art. 171-1751),,,,17.2
2017,Jaf (art. 187),,,,24.1
2017,Tâlhăria (art. 188),,,,2.5
2017,Șantajul (art. 189),,,,1.2
2017,Violenţa în familie (art.2011),,,,20.2
2017,Huliganismul (art.287),,,,40.7
2017,,Bărbați,,,137.3
2017,,Femei,,,101.3
2017,,,0-17 ani,,79.7
2017,,,18 ani și peste,,129.3
2017,,,,Violență psihologică,26.8
2017,,,,Violență fizică,64.8
2017,,,,Violență sexuală,17.2
2018,,,,,120.6
2018,Vătămarea intenționată gravă a integrității corporale (art. 151),,,,6.3
2018,Răpirea unei persoane (art. 164),,,,1.5
2018,Agresiune sexuală (art. 171-1751),,,,19.3
2018,Jaf (art. 187),,,,20.6
