Year,Indice,Value
2010,,
2010,Indice (rang),
2011,,
2011,Indice (rang),
2012,,
2012,Indice (rang),
2013,,73.99
2013,Indice (rang),55.0
2014,,74.65
2014,Indice (rang),56.0
2015,,72.15
2015,Indice (rang),72.0
2016,,71.17
2016,Indice (rang),76.0
2017,,69.59
2017,Indice (rang),80.0
2018,,69.99
2018,Indice (rang),81.0
2019,,68.79
2019,Indice (rang),91.0
2020,,68.84
2020,Indice (rang),91.0
2021,,68.39
2021,Indice (rang),89.0
2022,,73.47
2022,Indice (rang),40.0
2023,,77.62
2023,Indice (rang),28.0
2024,,74.86
2024,Indice (rang),31.0
