Year,Mediul de reședință,Sex,Types of offences,Etnie,Context migrațional,Cetățenie,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Bărbați,,,,,
2010,,Femei,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,xx,,,,
2010,,,xx,,,,
2010,,,,xx,,,
2010,,,,xx,,,
2010,,,,xx,,,
2010,,,,,xx,,
2010,,,,,xx,,
2010,,,,,xx,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2010,,,,,,,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Bărbați,,,,,
2011,,Femei,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,xx,,,,
2011,,,xx,,,,
2011,,,,xx,,,
2011,,,,xx,,,
2011,,,,xx,,,
2011,,,,,xx,,
2011,,,,,xx,,
2011,,,,,xx,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2011,,,,,,,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,Bărbați,,,,,
2012,,Femei,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,xx,,,,
2012,,,xx,,,,
2012,,,,xx,,,
2012,,,,xx,,,
2012,,,,xx,,,
2012,,,,,xx,,
2012,,,,,xx,,
2012,,,,,xx,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2012,,,,,,,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Bărbați,,,,,
2013,,Femei,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,xx,,,,
2013,,,xx,,,,
2013,,,,xx,,,
2013,,,,xx,,,
2013,,,,xx,,,
2013,,,,,xx,,
2013,,,,,xx,,
2013,,,,,xx,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
2013,,,,,,,
