Year,Drepturile copilului,Value
2010,,
2010,Drepturile copilului,
2011,,
2011,Drepturile copilului,
2012,,
2012,Drepturile copilului,
2013,,
2013,Drepturile copilului,
2014,,
2014,Drepturile copilului,
2015,,
2015,Drepturile copilului,
2016,,70.0
2016,Drepturile copilului,53.0
2017,,74.8
2017,Drepturile copilului,53.0
2018,,51.0
2018,Drepturile copilului,49.0
2019,,48.0
2019,Drepturile copilului,38.0
2020,,46.0
2020,Drepturile copilului,52.0
2021,,51.0
2021,Drepturile copilului,51.0
2022,,47.0
2022,Drepturile copilului,52.0
