Year,Durata aflării în arest,Sex,Value
2010,,,9.7
2010,Până la 3 luni,,6.7
2010,De la 3 la 6 luni,,2.2
2010,De la 6 luni până la 12 luni,,0.6
2010,Mai mult de 12 luni,,0.2
2010,,Bărbați,
2010,,Femei,
2011,,,10.9
2011,Până la 3 luni,,6.7
2011,De la 3 la 6 luni,,2.8
2011,De la 6 luni până la 12 luni,,1.3
2011,Mai mult de 12 luni,,0.1
2011,,Bărbați,
2011,,Femei,
2012,,,11.2
2012,Până la 3 luni,,6.1
2012,De la 3 la 6 luni,,3.4
2012,De la 6 luni până la 12 luni,,1.4
2012,Mai mult de 12 luni,,0.3
2012,,Bărbați,
2012,,Femei,
2013,,,11.8
2013,Până la 3 luni,,6.0
2013,De la 3 la 6 luni,,4.2
2013,De la 6 luni până la 12 luni,,1.2
2013,Mai mult de 12 luni,,0.4
2013,,Bărbați,
2013,,Femei,
2014,,,10.4
2014,Până la 3 luni,,4.3
2014,De la 3 la 6 luni,,3.6
2014,De la 6 luni până la 12 luni,,1.4
2014,Mai mult de 12 luni,,1.1
2014,,Bărbați,
2014,,Femei,
2015,,,11.7
2015,Până la 3 luni,,5.3
2015,De la 3 la 6 luni,,4.4
2015,De la 6 luni până la 12 luni,,1.4
2015,Mai mult de 12 luni,,0.6
2015,,Bărbați,
2015,,Femei,
2016,,,8.8
2016,Până la 3 luni,,4.5
2016,De la 3 la 6 luni,,2.3
2016,De la 6 luni până la 12 luni,,2.0
2016,Mai mult de 12 luni,,0.0
2016,,Bărbați,
2016,,Femei,
2017,,,9.3
2017,Până la 3 luni,,6.0
2017,De la 3 la 6 luni,,2.4
2017,De la 6 luni până la 12 luni,,0.9
2017,Mai mult de 12 luni,,0.0
2017,,Bărbați,
2017,,Femei,
2018,,,6.8
2018,Până la 3 luni,,4.4
2018,De la 3 la 6 luni,,1.5
2018,De la 6 luni până la 12 luni,,0.9
2018,Mai mult de 12 luni,,0.0
2018,,Bărbați,
2018,,Femei,
2019,,,5.8
2019,Până la 3 luni,,3.7
2019,De la 3 la 6 luni,,1.3
2019,De la 6 luni până la 12 luni,,0.8
2019,Mai mult de 12 luni,,0.0
2019,,Bărbați,
2019,,Femei,
2020,,,5.3
2020,Până la 3 luni,,3.0
2020,De la 3 la 6 luni,,1.7
2020,De la 6 luni până la 12 luni,,0.6
2020,Mai mult de 12 luni,,0.0
2020,,Bărbați,5.2
2020,,Femei,0.1
2021,,,5.5
2021,Până la 3 luni,,3.7
2021,De la 3 la 6 luni,,1.3
2021,De la 6 luni până la 12 luni,,0.5
2021,Mai mult de 12 luni,,0.0
2021,,Bărbați,5.3
2021,,Femei,0.2
2022,,,5.4
2022,Până la 3 luni,,3.9
2022,De la 3 la 6 luni,,1.0
2022,De la 6 luni până la 12 luni,,0.5
2022,Mai mult de 12 luni,,0.0
2022,,Bărbați,5.1
2022,,Femei,0.3
