Year,Indicatori,Value
2010,,
2010,Numărul tranzacțiilor raportate de instituțiile bancare,
2010,Numărul tranzacțiilor raportate de instutițiile nebancare,
2011,,
2011,Numărul tranzacțiilor raportate de instituțiile bancare,
2011,Numărul tranzacțiilor raportate de instutițiile nebancare,
2012,,
2012,Numărul tranzacțiilor raportate de instituțiile bancare,
2012,Numărul tranzacțiilor raportate de instutițiile nebancare,
2013,,
2013,Numărul tranzacțiilor raportate de instituțiile bancare,
2013,Numărul tranzacțiilor raportate de instutițiile nebancare,
2014,,
2014,Numărul tranzacțiilor raportate de instituțiile bancare,
2014,Numărul tranzacțiilor raportate de instutițiile nebancare,
2015,,
2015,Numărul tranzacțiilor raportate de instituțiile bancare,
2015,Numărul tranzacțiilor raportate de instutițiile nebancare,
2016,,
2016,Numărul tranzacțiilor raportate de instituțiile bancare,
2016,Numărul tranzacțiilor raportate de instutițiile nebancare,
2017,,
2017,Numărul tranzacțiilor raportate de instituțiile bancare,
2017,Numărul tranzacțiilor raportate de instutițiile nebancare,
2018,,1585852.0
2018,Numărul tranzacțiilor raportate de instituțiile bancare,1585852.0
2018,Numărul tranzacțiilor raportate de instutițiile nebancare,0.0
2019,,24417.0
2019,Numărul tranzacțiilor raportate de instituțiile bancare,21003.0
2019,Numărul tranzacțiilor raportate de instutițiile nebancare,3414.0
2020,,700.0
2020,Numărul tranzacțiilor raportate de instituțiile bancare,420.0
2020,Numărul tranzacțiilor raportate de instutițiile nebancare,280.0
2021,,969.0
2021,Numărul tranzacțiilor raportate de instituțiile bancare,533.0
2021,Numărul tranzacțiilor raportate de instutițiile nebancare,436.0
2022,,596.0
2022,Numărul tranzacțiilor raportate de instituțiile bancare,146.0
2022,Numărul tranzacțiilor raportate de instutițiile nebancare,450.0
2023,,637.0
2023,Numărul tranzacțiilor raportate de instituțiile bancare,135.0
2023,Numărul tranzacțiilor raportate de instutițiile nebancare,502.0
2024,,324.0
2024,Numărul tranzacțiilor raportate de instituțiile bancare,198.0
2024,Numărul tranzacțiilor raportate de instutițiile nebancare,126.0
2025,,378.0
2025,Numărul tranzacțiilor raportate de instituțiile bancare,109.0
2025,Numărul tranzacțiilor raportate de instutițiile nebancare,269.0
