Year,Mod de accesare,Value
2010,,
2010,La sediul instituției,
2010,Electronic,
2011,,
2011,La sediul instituției,
2011,Electronic,
2012,,
2012,La sediul instituției,
2012,Electronic,
2013,,
2013,La sediul instituției,
2013,Electronic,
2014,,
2014,La sediul instituției,
2014,Electronic,
2015,,
2015,La sediul instituției,
2015,Electronic,
2016,,
2016,La sediul instituției,
2016,Electronic,
2017,,
2017,La sediul instituției,
2017,Electronic,
2018,,
2018,La sediul instituției,
2018,Electronic,
2019,,
2019,La sediul instituției,
2019,Electronic,73.1
2020,,81.8
2020,La sediul instituției,72.1
2020,Electronic,86.7
2021,,66.233
2021,La sediul instituției,65.1
2021,Electronic,66.8
2022,,66.367
2022,La sediul instituției,67.5
2022,Electronic,65.8
2023,,72.7
2023,La sediul instituției,67.4
2023,Electronic,75.4
2024,,74.4
2024,La sediul instituției,69.0
2024,Electronic,77.1
