Year,Sex,Grupa de vârstă,Value
2010,,,
2010,Bărbați,,
2010,Femei,,
2010,,18-44 ani,
2011,,,
2011,Bărbați,,
2011,Femei,,
2011,,18-44 ani,
2012,,,
2012,Bărbați,,
2012,Femei,,
2012,,18-44 ani,
2013,,,
2013,Bărbați,,
2013,Femei,,
2013,,18-44 ani,
2014,,,
2014,Bărbați,,1.703
2014,Femei,,0.374
2014,,18-44 ani,0.917
2015,,,
2015,Bărbați,,1.678
2015,Femei,,0.394
2015,,18-44 ani,0.872
2016,,,
2016,Bărbați,,1.638
2016,Femei,,0.431
2016,,18-44 ani,0.857
2017,,,
2017,Bărbați,,1.667
2017,Femei,,0.41
2017,,18-44 ani,0.85
2018,,,
2018,Bărbați,,1.706
2018,Femei,,0.38
2018,,18-44 ani,0.697
2019,,,
2019,Bărbați,,1.589
2019,Femei,,0.483
2019,,18-44 ani,1.175
2020,,,
2020,Bărbați,,1.611
2020,Femei,,0.464
2020,,18-44 ani,0.973
2021,,,
2021,Bărbați,,1.276
2021,Femei,,0.759
2021,,18-44 ani,1.123
2022,,,
2022,Bărbați,,1.331
2022,Femei,,0.717
2022,,18-44 ani,1.286
2023,,,
2023,Bărbați,,1.298
2023,Femei,,0.75
2023,,18-44 ani,1.182
2024,,,
2024,Bărbați,,1.328
2024,Femei,,0.73
2024,,18-44 ani,1.064
