Year,Sex,Grupa de vârstă,Mediu de reședință al respondenților,Criterii de discriminare,Entități în care au fost discriminați,Characteristics of persons who discriminated,The quality of the person who discriminated,The quality/function held by the natural person,The field of activity related to the person who discriminated,Value
2010,,,,,,,,,,
2010,Bărbați,,,,,,,,,
2010,Femei,,,,,,,,,
2010,,18-29,,,,,,,,
2010,,30-44,,,,,,,,
2010,,45-59,,,,,,,,
2010,,60+,,,,,,,,
2010,,,Urban,,,,,,,
2010,,,Rural,,,,,,,
2010,,,,Statut social,,,,,,
2010,,,,Vârsta,,,,,,
2010,,,,Dizabilitate,,,,,,
2010,,,,Orientarea sexuală,,,,,,
2010,,,,Existența antecedentelor penale,,,,,,
2010,,,,HIV,,,,,,
2010,,,,Etnia romă,,,,,,
2010,,,,Sex/gen,,,,,,
2010,,,,Altă etnie,,,,,,
2010,,,,Religia,,,,,,
2010,,,,Alte,,,,,,
2010,,,,,Policlinica,,,,,
2010,,,,,Locul de muncă,,,,,
2010,,,,,Poliția,,,,,
2010,,,,,Primăria,,,,,
2010,,,,,Strada,,,,,
2010,,,,,Asistența socială,,,,,
2010,,,,,Școala,,,,,
2010,,,,,Magazin,,,,,
2010,,,,,Biserica,,,,,
2010,,,,,Alte,,,,,
2010,,,,,,,,,,
2010,,,,,,,Individual person,,,
2010,,,,,,,Legal person,,,
2010,,,,,,,, Person with a function of public dignity,,
2010,,,,,,,,Public official,,
2010,,,,,,,,Person with responsibility functions,,
2010,,,,,,,,,Publică,
2010,,,,,,,,,Private,
2011,,,,,,,,,,
2011,Bărbați,,,,,,,,,
2011,Femei,,,,,,,,,
2011,,18-29,,,,,,,,
2011,,30-44,,,,,,,,
2011,,45-59,,,,,,,,
2011,,60+,,,,,,,,
2011,,,Urban,,,,,,,
2011,,,Rural,,,,,,,
2011,,,,Statut social,,,,,,
2011,,,,Vârsta,,,,,,
2011,,,,Dizabilitate,,,,,,
2011,,,,Orientarea sexuală,,,,,,
2011,,,,Existența antecedentelor penale,,,,,,
2011,,,,HIV,,,,,,
2011,,,,Etnia romă,,,,,,
2011,,,,Sex/gen,,,,,,
2011,,,,Altă etnie,,,,,,
2011,,,,Religia,,,,,,
2011,,,,Alte,,,,,,
2011,,,,,Policlinica,,,,,
2011,,,,,Locul de muncă,,,,,
2011,,,,,Poliția,,,,,
2011,,,,,Primăria,,,,,
2011,,,,,Strada,,,,,
2011,,,,,Asistența socială,,,,,
2011,,,,,Școala,,,,,
2011,,,,,Magazin,,,,,
2011,,,,,Biserica,,,,,
2011,,,,,Alte,,,,,
2011,,,,,,,,,,
2011,,,,,,,Individual person,,,
2011,,,,,,,Legal person,,,
