Year,Tipuri de venituri,Value
2010,,31.95
2010,Impozite,17.89
2010,Contribuții sociale,8.7
2010,Granturi,2.32
2010,Alte venituri,3.04
2011,,30.5
2011,Impozite,18.05
2011,Contribuții sociale,8.3
2011,Granturi,1.72
2011,Alte venituri,2.43
2012,,31.77
2012,Impozite,18.99
2012,Contribuții sociale,8.48
2012,Granturi,1.55
2012,Alte venituri,2.75
2013,,30.85
2013,Impozite,19.15
2013,Contribuții sociale,8.13
2013,Granturi,1.74
2013,Alte venituri,1.83
2014,,31.79
2014,Impozite,18.16
2014,Contribuții sociale,8.07
2014,Granturi,3.09
2014,Alte venituri,2.47
2015,,29.95
2015,Impozite,18.02
2015,Contribuții sociale,8.32
2015,Granturi,1.41
2015,Alte venituri,2.2
2016,,28.55
2016,Impozite,18.17
2016,Contribuții sociale,8.25
2016,Granturi,0.85
2016,Alte venituri,1.28
2017,,29.84
2017,Impozite,19.27
2017,Contribuții sociale,8.67
2017,Granturi,0.56
2017,Alte venituri,2.33
2018,,30.13
2018,Impozite,19.56
2018,Contribuții sociale,8.9
2018,Granturi,0.2
2018,Alte venituri,1.45
2019,,30.52
2019,Impozite,19.42
2019,Contribuții sociale,8.9
2019,Granturi,0.78
2019,Alte venituri,1.4
2020,,31.37
2020,Impozite,19.9
2020,Contribuții sociale,9.7
2020,Granturi,0.33
2020,Alte venituri,1.51
2021,,31.96
2021,Impozite,20.4
2021,Contribuții sociale,9.0
2021,Granturi,1.01
2021,Alte venituri,1.53
2022,,33.34
2022,Impozite,20.01
2022,Contribuții sociale,9.08
2022,Granturi,1.65
2022,Alte venituri,1.66
2023,,34.05
2023,Impozite,20.97
2023,Contribuții sociale,9.66
2023,Granturi,1.78
2023,Alte venituri,1.64
