Year,Tipuri de produse,Value
2010,,3.7
2010,Produse agricole,11.7
2010,Produse non-agricole,2.4
2011,,3.7
2011,Produse agricole,10.9
2011,Produse non-agricole,2.6
2012,,3.6
2012,Produse agricole,11.2
2012,Produse non-agricole,2.5
2013,,3.4
2013,Produse agricole,10.4
2013,Produse non-agricole,2.4
2014,,4.5
2014,Produse agricole,11.5
2014,Produse non-agricole,3.4
2015,,4.3
2015,Produse agricole,11.1
2015,Produse non-agricole,3.3
2016,,4.5
2016,Produse agricole,11.6
2016,Produse non-agricole,3.4
2017,,4.3
2017,Produse agricole,10.9
2017,Produse non-agricole,3.3
2018,,4.1
2018,Produse agricole,11.2
2018,Produse non-agricole,3.1
2019,,4.2
2019,Produse agricole,11.2
2019,Produse non-agricole,3.2
2020,,4.7
2020,Produse agricole,12.4
2020,Produse non-agricole,3.4
2021,,
2021,Produse agricole,
2021,Produse non-agricole,
2022,,
2022,Produse agricole,
2022,Produse non-agricole,
