Year,Indicatori,Value
2010,,
2010,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2010,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2010,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2010,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2011,,
2011,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2011,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2011,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2011,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2012,,
2012,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2012,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2012,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2012,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2013,,
2013,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2013,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2013,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2013,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2014,,
2014,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2014,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2014,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2014,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2015,,
2015,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2015,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2015,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2015,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2016,,
2016,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2016,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2016,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2016,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2017,,
2017,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2017,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2017,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2017,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2018,,
2018,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2018,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2018,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2018,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2019,,
2019,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2019,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2019,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2019,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2020,,
2020,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2020,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2020,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2020,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2021,,
2021,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2021,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2021,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2021,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2022,,
2022,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2022,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2022,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2022,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2023,,
2023,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2023,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2023,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
