Year,Grupa de vârstă / Sex,Value
2010,,
2010,15 ani + / Bărbați,
2010,15 ani +  / Femei,
2011,,
2011,15 ani + / Bărbați,
2011,15 ani +  / Femei,
2012,,
2012,15 ani + / Bărbați,
2012,15 ani +  / Femei,
2013,,
2013,15 ani + / Bărbați,
2013,15 ani +  / Femei,
2014,,
2014,15 ani + / Bărbați,
2014,15 ani +  / Femei,
2015,,19.3
2015,15 ani + / Bărbați,19.2
2015,15 ani +  / Femei,19.3
2016,,20.9
2016,15 ani + / Bărbați,20.5
2016,15 ani +  / Femei,21.3
2017,,24.6
2017,15 ani + / Bărbați,23.7
2017,15 ani +  / Femei,25.4
2018,,27.5
2018,15 ani + / Bărbați,24.3
2018,15 ani +  / Femei,30.6
2019,,27.2
2019,15 ani + / Bărbați,24.2
2019,15 ani +  / Femei,30.1
2020,,24.9
2020,15 ani + / Bărbați,21.2
2020,15 ani +  / Femei,28.7
2021,,23.5
2021,15 ani + / Bărbați,20.5
2021,15 ani +  / Femei,26.6
2022,,24.7
2022,15 ani + / Bărbați,20.7
2022,15 ani +  / Femei,28.7
2023,,25.1
2023,15 ani + / Bărbați,20.7
2023,15 ani +  / Femei,29.4
