Year,Resurse genetice animaliere,Resurse genetice vegetale (mostre),Value
2010,,,
2010,"Bovine, capete",,
2010,"Porcine, capete",,
2010,"Ovine, capete",,
2010,"Caprine, capete",,
2010,"Cabaline, capete",,
2010,"Iepuri, capete",,
2010,"Păsări, capete",,
2010,"Piscicole (pești), capete",,
2010,"Apicole (albini), familii",,
2010,,Total,6415.0
2010,,Corn,
2010,,Sorghum crops,
2010,,Aromatic and medicinal plants,
2010,,Cereal crops,
2010,,Leguminous crops for grains,
2010,,Viticulture,
2010,,Pomology (Fruit growing),
2010,,Berry crops,
2010,,Vegetable growing (Vegetable crops),
2010,,Potato,
2011,,,
2011,"Bovine, capete",,
2011,"Porcine, capete",,
2011,"Ovine, capete",,
2011,"Caprine, capete",,
2011,"Cabaline, capete",,
2011,"Iepuri, capete",,
2011,"Păsări, capete",,
2011,"Piscicole (pești), capete",,
2011,"Apicole (albini), familii",,
2011,,Total,6415.0
2011,,Corn,
2011,,Sorghum crops,
2011,,Aromatic and medicinal plants,
2011,,Cereal crops,
2011,,Leguminous crops for grains,
2011,,Viticulture,
2011,,Pomology (Fruit growing),
2011,,Berry crops,
2011,,Vegetable growing (Vegetable crops),
2011,,Potato,
2012,,,
2012,"Bovine, capete",,
2012,"Porcine, capete",,
2012,"Ovine, capete",,
2012,"Caprine, capete",,
2012,"Cabaline, capete",,
2012,"Iepuri, capete",,
2012,"Păsări, capete",,
2012,"Piscicole (pești), capete",,
2012,"Apicole (albini), familii",,
2012,,Total,
2012,,Corn,
2012,,Sorghum crops,
2012,,Aromatic and medicinal plants,
2012,,Cereal crops,
2012,,Leguminous crops for grains,
2012,,Viticulture,
2012,,Pomology (Fruit growing),
2012,,Berry crops,
2012,,Vegetable growing (Vegetable crops),
2012,,Potato,
2013,,,
2013,"Bovine, capete",,
2013,"Porcine, capete",,
2013,"Ovine, capete",,
2013,"Caprine, capete",,
2013,"Cabaline, capete",,
2013,"Iepuri, capete",,
2013,"Păsări, capete",,
2013,"Piscicole (pești), capete",,
2013,"Apicole (albini), familii",,
2013,,Total,
2013,,Corn,
2013,,Sorghum crops,
2013,,Aromatic and medicinal plants,
2013,,Cereal crops,
2013,,Leguminous crops for grains,
2013,,Viticulture,
2013,,Pomology (Fruit growing),
2013,,Berry crops,
2013,,Vegetable growing (Vegetable crops),
2013,,Potato,
2014,,,
2014,"Bovine, capete",,
2014,"Porcine, capete",,
2014,"Ovine, capete",,
2014,"Caprine, capete",,
2014,"Cabaline, capete",,
2014,"Iepuri, capete",,
2014,"Păsări, capete",,
2014,"Piscicole (pești), capete",,
2014,"Apicole (albini), familii",,
2014,,Total,
2014,,Corn,
2014,,Sorghum crops,
2014,,Aromatic and medicinal plants,
2014,,Cereal crops,
2014,,Leguminous crops for grains,
2014,,Viticulture,
