Year,Bovine,Ovine,Value
2010,,,
2010,Bălțata cu Negru de tip Moldovenesc,,
2010,,Caracul,
2010,,Țigaie,
2011,,,
2011,Bălțata cu Negru de tip Moldovenesc,,
2011,,Caracul,
2011,,Țigaie,
2012,,,
2012,Bălțata cu Negru de tip Moldovenesc,,
2012,,Caracul,
2012,,Țigaie,
2013,,,
2013,Bălțata cu Negru de tip Moldovenesc,,
2013,,Caracul,
2013,,Țigaie,
2014,,,
2014,Bălțata cu Negru de tip Moldovenesc,,
2014,,Caracul,
2014,,Țigaie,
2015,,,
2015,Bălțata cu Negru de tip Moldovenesc,,
2015,,Caracul,
2015,,Țigaie,
2016,,,
2016,Bălțata cu Negru de tip Moldovenesc,,39.0
2016,,Caracul,20.0
2016,,Țigaie,79.0
2017,,,
2017,Bălțata cu Negru de tip Moldovenesc,,34.0
2017,,Caracul,18.0
2017,,Țigaie,82.0
2018,,,
2018,Bălțata cu Negru de tip Moldovenesc,,27.0
2018,,Caracul,19.0
2018,,Țigaie,79.0
2019,,,
2019,Bălțata cu Negru de tip Moldovenesc,,29.0
2019,,Caracul,34.0
2019,,Țigaie,64.0
2020,,,
2020,Bălțata cu Negru de tip Moldovenesc,,20.0
2020,,Caracul,48.0
2020,,Țigaie,49.0
2021,,,
2021,Bălțata cu Negru de tip Moldovenesc,,15.0
2021,,Caracul,43.0
2021,,Țigaie,49.0
2022,,,
2022,Bălțata cu Negru de tip Moldovenesc,,6.0
2022,,Caracul,50.0
2022,,Țigaie,47.0
2023,,,
2023,Bălțata cu Negru de tip Moldovenesc,,31.0
2023,,Caracul,21.0
2023,,Țigaie,36.0
2024,,,
2024,Bălțata cu Negru de tip Moldovenesc,,34.0
2024,,Caracul,20.0
2024,,Țigaie,33.0
2025,,,
2025,Bălțata cu Negru de tip Moldovenesc,,37.0
2025,,Caracul,20.0
2025,,Țigaie,12.0
