Year,Grupa de vârstă,Value
2010,,
2010,"18 ani și peste, adulți",
2010,"0-17 ani, copii",
2011,,
2011,"18 ani și peste, adulți",
2011,"0-17 ani, copii",
2012,,
2012,"18 ani și peste, adulți",
2012,"0-17 ani, copii",
2013,,
2013,"18 ani și peste, adulți",
2013,"0-17 ani, copii",
2014,,64.56
2014,"18 ani și peste, adulți",83.21
2014,"0-17 ani, copii",2.13
2015,,55.96
2015,"18 ani și peste, adulți",72.093
2015,"0-17 ani, copii",1.239
2016,,43.879
2016,"18 ani și peste, adulți",56.554
2016,"0-17 ani, copii",0.785
2017,,44.897
2017,"18 ani și peste, adulți",57.812
2017,"0-17 ani, copii",1.271
2018,,33.134
2018,"18 ani și peste, adulți",42.675
2018,"0-17 ani, copii",0.969
2019,,37.084
2019,"18 ani și peste, adulți",47.519
2019,"0-17 ani, copii",1.65
2020,,18.102
2020,"18 ani și peste, adulți",23.143
2020,"0-17 ani, copii",0.839
2021,,23.249
2021,"18 ani și peste, adulți",28.915
2021,"0-17 ani, copii",3.738
2022,,16.37
2022,"18 ani și peste, adulți",20.09
2022,"0-17 ani, copii",2.76
2023,,24.77
2023,"18 ani și peste, adulți",31.28
2023,"0-17 ani, copii",0.58
2024,,29.88
2024,"18 ani și peste, adulți",37.56
2024,"0-17 ani, copii",0.8
