Year,Sex,Mediul de reședință,Area of residence/Sex,Age group/sex,Value
2010,,,,,
2010,men,,,,
2010,Femei,,,,
2010,,Urban,,,
2010,,Rural,,,
2010,,,Urban/Men,,
2010,,,Rural/men,,
2010,,,Urban/Women,,
2010,,,Rural/Women,,
2010,,,,15-24/Men,
2010,,,,15-24/ Women,
2010,,,,25-34/Men,
2010,,,,25-34/Women,
2010,,,,35-44/Men,
2010,,,,35-44/Women,
2010,,,,45-49/Men,
2010,,,,45-49/Women,
2011,,,,,
2011,men,,,,
2011,Femei,,,,
2011,,Urban,,,
2011,,Rural,,,
2011,,,Urban/Men,,
2011,,,Rural/men,,
2011,,,Urban/Women,,
2011,,,Rural/Women,,
2011,,,,15-24/Men,
2011,,,,15-24/ Women,
2011,,,,25-34/Men,
2011,,,,25-34/Women,
2011,,,,35-44/Men,
2011,,,,35-44/Women,
2011,,,,45-49/Men,
2011,,,,45-49/Women,
2012,,,,,68.5
2012,men,,,,80.0
2012,Femei,,,,57.0
2012,,Urban,,,
2012,,Rural,,,
2012,,,Urban/Men,,78.0
2012,,,Rural/men,,81.0
2012,,,Urban/Women,,61.0
2012,,,Rural/Women,,54.0
2012,,,,15-24/Men,71.2
2012,,,,15-24/ Women,48.7
2012,,,,25-34/Men,85.4
2012,,,,25-34/Women,59.8
2012,,,,35-44/Men,84.6
2012,,,,35-44/Women,62.7
2012,,,,45-49/Men,79.6
2012,,,,45-49/Women,59.8
2013,,,,,61.9
2013,men,,,,69.8
2013,Femei,,,,53.5
2013,,Urban,,,59.0
2013,,Rural,,,64.5
2013,,,Urban/Men,,
2013,,,Rural/men,,
2013,,,Urban/Women,,
2013,,,Rural/Women,,
2013,,,,15-24/Men,
2013,,,,15-24/ Women,
2013,,,,25-34/Men,
2013,,,,25-34/Women,
2013,,,,35-44/Men,
2013,,,,35-44/Women,
2013,,,,45-49/Men,
2013,,,,45-49/Women,
2014,,,,,
2014,men,,,,
2014,Femei,,,,
2014,,Urban,,,
2014,,Rural,,,
2014,,,Urban/Men,,
2014,,,Rural/men,,
2014,,,Urban/Women,,
2014,,,Rural/Women,,
2014,,,,15-24/Men,
2014,,,,15-24/ Women,
2014,,,,25-34/Men,
2014,,,,25-34/Women,
2014,,,,35-44/Men,
2014,,,,35-44/Women,
2014,,,,45-49/Men,
2014,,,,45-49/Women,
2015,,,,,
2015,men,,,,
2015,Femei,,,,
2015,,Urban,,,
2015,,Rural,,,
2015,,,Urban/Men,,
2015,,,Rural/men,,
2015,,,Urban/Women,,
