Year,Sex,Grupa de vârstă,Disease Group,Value
2010,,,,
2010,Bărbați,,,
2010,Femei,,,
2010,,0-14,,
2010,,15-24,,
2010,,25-34,,
2010,,35-44,,
2010,,45-54,,
2010,,16-55,,
2010,,56+,,
2010,,,Circulatory system diseases,
2010,,,including hypertensive disease,
2010,,,"Endocrine, nutritional and metabolic diseases",
2010,,,including diabetes mellitus,
2010,,,Respiratory system diseases,
2010,,,Musculoskeletal system and connective tissue diseases,
2010,,,Influencing factors of the health status and reasons for seeking health services,
2010,,,including prophylaxis of rickets and anemia in children,
2010,,,Digestive system diseases ,
2010,,,Diseases of the eye and its adnexa,
2010,,,Genitourinary system diseases,
2010,,,Mental and behavioral disorders,
2010,,,Nervous system diseases,
2011,,,,
2011,Bărbați,,,
2011,Femei,,,
2011,,0-14,,
2011,,15-24,,
2011,,25-34,,
2011,,35-44,,
2011,,45-54,,
2011,,16-55,,
2011,,56+,,
2011,,,Circulatory system diseases,
2011,,,including hypertensive disease,
2011,,,"Endocrine, nutritional and metabolic diseases",
2011,,,including diabetes mellitus,
2011,,,Respiratory system diseases,
2011,,,Musculoskeletal system and connective tissue diseases,
2011,,,Influencing factors of the health status and reasons for seeking health services,
2011,,,including prophylaxis of rickets and anemia in children,
2011,,,Digestive system diseases ,
2011,,,Diseases of the eye and its adnexa,
2011,,,Genitourinary system diseases,
2011,,,Mental and behavioral disorders,
2011,,,Nervous system diseases,
2012,,,,
2012,Bărbați,,,
2012,Femei,,,
2012,,0-14,,
2012,,15-24,,
2012,,25-34,,
2012,,35-44,,
2012,,45-54,,
2012,,16-55,,
2012,,56+,,
2012,,,Circulatory system diseases,
2012,,,including hypertensive disease,
2012,,,"Endocrine, nutritional and metabolic diseases",
2012,,,including diabetes mellitus,
2012,,,Respiratory system diseases,
2012,,,Musculoskeletal system and connective tissue diseases,
2012,,,Influencing factors of the health status and reasons for seeking health services,
2012,,,including prophylaxis of rickets and anemia in children,
2012,,,Digestive system diseases ,
2012,,,Diseases of the eye and its adnexa,
2012,,,Genitourinary system diseases,
2012,,,Mental and behavioral disorders,
2012,,,Nervous system diseases,
2013,,,,
2013,Bărbați,,,
2013,Femei,,,
2013,,0-14,,
2013,,15-24,,
2013,,25-34,,
2013,,35-44,,
2013,,45-54,,
2013,,16-55,,
2013,,56+,,
2013,,,Circulatory system diseases,
2013,,,including hypertensive disease,
2013,,,"Endocrine, nutritional and metabolic diseases",
2013,,,including diabetes mellitus,
2013,,,Respiratory system diseases,
2013,,,Musculoskeletal system and connective tissue diseases,
2013,,,Influencing factors of the health status and reasons for seeking health services,
2013,,,including prophylaxis of rickets and anemia in children,
