Year,Units,Series,Mediul de reședință,Sex,Value
2010,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,
2010,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,
2010,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,
2010,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,
2010,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,
2010,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,
2010,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,
2010,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,
2010,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,
2010,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,
2010,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,
2010,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,
2010,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,
2010,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,
2010,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,
2011,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,
2011,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,
2011,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,
2011,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,
2011,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,
2011,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,
2011,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,
2011,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,
2011,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,
2011,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,
2011,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,
2011,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,
2011,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,
2011,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,
2011,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,
2012,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,
2012,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,
2012,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,
2012,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,
2012,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,
2012,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,
2012,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,
2012,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,
2012,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,
2012,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,
2012,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,
2012,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,
2012,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,
2012,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,
2012,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,
2013,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,
2013,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,
2013,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,
2013,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,
2013,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,
2013,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,
2013,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,
2013,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,
2013,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,
2013,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,
2013,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,
2013,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,
2013,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,
2013,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,
2013,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,
2014,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.7
2014,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.6
2014,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.8
2014,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.7
2014,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.8
2014,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,98.8
2014,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,99.3
2014,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Rural,,98.6
2014,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Bărbați,98.3
2014,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,,Femei,99.3
2014,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Total,,78.3
2014,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Urban,,92.0
2014,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",Rural,,69.1
2014,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Bărbați,74.7
2014,Percent,"Ponderea tinerilor de 21-23 ani care au absolvit cel puțin învățământul liceal / mediu general,  profesional tehnic secundar",,Femei,82.3
2015,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Total,,99.7
2015,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Urban,,99.6
2015,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,Rural,,99.7
2015,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Bărbați,99.6
2015,Percent,Ponderea copiilor de 13-15 ani care au absolvit cel puțin învățământul primar,,Femei,99.8
2015,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Total,,99.0
2015,Percent,Ponderea tinerilor de 18-20 ani care au absolvit cel puțin învățământul gimnazial,Urban,,99.6
