Year,Mediul de reședință,Nivele de educație,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,învățământ primar,
2010,,mediu general,
2010,,liceal,
2011,,,
2011,Urban,,
2011,Rural,,
2011,,învățământ primar,
2011,,mediu general,
2011,,liceal,
2012,,,
2012,Urban,,
2012,Rural,,
2012,,învățământ primar,
2012,,mediu general,
2012,,liceal,
2013,,,
2013,Urban,,
2013,Rural,,
2013,,învățământ primar,
2013,,mediu general,
2013,,liceal,
2014,,,
2014,Urban,,
2014,Rural,,
2014,,învățământ primar,
2014,,mediu general,
2014,,liceal,
2015,,,
2015,Urban,,
2015,Rural,,
2015,,învățământ primar,
2015,,mediu general,
2015,,liceal,
2016,,,
2016,Urban,,
2016,Rural,,
2016,,învățământ primar,
2016,,mediu general,
2016,,liceal,
2017,,,
2017,Urban,,
2017,Rural,,
2017,,învățământ primar,
2017,,mediu general,
2017,,liceal,
2018,,,
2018,Urban,,
2018,Rural,,
2018,,învățământ primar,
2018,,mediu general,
2018,,liceal,
2019,,,
2019,Urban,,
2019,Rural,,
2019,,învățământ primar,
2019,,mediu general,
2019,,liceal,
2020,,,
2020,Urban,,
2020,Rural,,
2020,,învățământ primar,
2020,,mediu general,
2020,,liceal,
2021,,,
2021,Urban,,
2021,Rural,,
2021,,învățământ primar,
2021,,mediu general,
2021,,liceal,
2022,,,83.6
2022,Urban,,86.5
2022,Rural,,82.6
2022,,învățământ primar,81.3
2022,,mediu general,84.1
2022,,liceal,83.2
2023,,,88.1
2023,Urban,,89.7
2023,Rural,,87.6
2023,,învățământ primar,86.8
2023,,mediu general,88.9
2023,,liceal,86.8
