Year,Sex,Forms of ownership,Value
2010,,,
2010,Femei,,
2010,Bărbați,,
2010,,Public,
2010,,Other,
2011,,,
2011,Femei,,
2011,Bărbați,,
2011,,Public,
2011,,Other,
2012,,,
2012,Femei,,
2012,Bărbați,,
2012,,Public,
2012,,Other,
2013,,,93.8
2013,Femei,,93.7
2013,Bărbați,,94.2
2013,,Public,93.7
2013,,Other,98.6
2014,,,98.1
2014,Femei,,97.7
2014,Bărbați,,98.6
2014,,Public,98.0
2014,,Other,100.0
2015,,,99.2
2015,Femei,,99.2
2015,Bărbați,,97.4
2015,,Public,99.2
2015,,Other,98.4
2016,,,99.1
2016,Femei,,99.2
2016,Bărbați,,94.1
2016,,Public,99.1
2016,,Other,99.5
2017,,,99.0
2017,Femei,,99.1
2017,Bărbați,,91.5
2017,,Public,99.0
2017,,Other,98.0
2018,,,98.9
2018,Femei,,99.1
2018,Bărbați,,88.8
2018,,Public,99.1
2018,,Other,93.7
2019,,,99.1
2019,Femei,,99.3
2019,Bărbați,,90.0
2019,,Public,99.1
2019,,Other,98.7
2020,,,98.9
2020,Femei,,99.0
2020,Bărbați,,91.0
2020,,Public,98.9
2020,,Other,97.9
2021,,,99.0
2021,Femei,,98.9
2021,Bărbați,,100.0
2021,,Public,99.0
2021,,Other,98.0
2022,,,98.7
2022,Femei,,98.2
2022,Bărbați,,100.0
2022,,Public,98.6
2022,,Other,99.0
