Year,Sex,Forme de proprietate,Value
2010,,,
2010,Femei,,
2010,Bărbați,,
2010,,Publică,
2010,,Alte,
2011,,,
2011,Femei,,
2011,Bărbați,,
2011,,Publică,
2011,,Alte,
2012,,,
2012,Femei,,
2012,Bărbați,,
2012,,Publică,
2012,,Alte,
2013,,,93.5
2013,Femei,,93.6
2013,Bărbați,,93.1
2013,,Publică,93.4
2013,,Alte,99.1
2014,,,97.4
2014,Femei,,97.3
2014,Bărbați,,97.9
2014,,Publică,97.3
2014,,Alte,99.7
2015,,,98.7
2015,Femei,,99.1
2015,Bărbați,,97.1
2015,,Publică,98.7
2015,,Alte,99.0
2016,,,98.0
2016,Femei,,98.7
2016,Bărbați,,95.1
2016,,Publică,98.0
2016,,Alte,98.3
2017,,,98.1
2017,Femei,,98.9
2017,Bărbați,,94.6
2017,,Publică,98.1
2017,,Alte,99.4
2018,,,98.2
2018,Femei,,98.9
2018,Bărbați,,95.3
2018,,Publică,98.2
2018,,Alte,99.7
2019,,,98.7
2019,Femei,,99.3
2019,Bărbați,,96.1
2019,,Publică,98.7
2019,,Alte,99.3
2020,,,97.9
2020,Femei,,98.6
2020,Bărbați,,94.7
2020,,Publică,97.9
2020,,Alte,98.6
2021,,,97.7
2021,Femei,,98.1
2021,Bărbați,,95.8
2021,,Publică,97.8
2021,,Alte,92.4
2022,,,98.2
2022,Femei,,98.5
2022,Bărbați,,96.8
2022,,Publică,98.2
2022,,Alte,99.4
