Year,Nivelul autorități publice,Tip funcție,Value
2010,,,
2010,Administrația publică centrală,,
2010,"Autorități publice locale, nivelul I",,
2010,"Autorități publice locale, nivelul II",,
2010,,Conducere nivel superior,
2010,,"Conducere, execuție",
2011,,,
2011,Administrația publică centrală,,
2011,"Autorități publice locale, nivelul I",,
2011,"Autorități publice locale, nivelul II",,
2011,,Conducere nivel superior,
2011,,"Conducere, execuție",
2012,,,71.1
2012,Administrația publică centrală,,70.5
2012,"Autorități publice locale, nivelul I",,75.7
2012,"Autorități publice locale, nivelul II",,66.8
2012,,Conducere nivel superior,30.0
2012,,"Conducere, execuție",71.2
2013,,,71.3
2013,Administrația publică centrală,,70.8
2013,"Autorități publice locale, nivelul I",,75.6
2013,"Autorități publice locale, nivelul II",,67.2
2013,,Conducere nivel superior,33.3
2013,,"Conducere, execuție",71.3
2014,,,71.3
2014,Administrația publică centrală,,70.6
2014,"Autorități publice locale, nivelul I",,75.8
2014,"Autorități publice locale, nivelul II",,68.0
2014,,Conducere nivel superior,37.0
2014,,"Conducere, execuție",71.4
2015,,,71.9
2015,Administrația publică centrală,,71.2
2015,"Autorități publice locale, nivelul I",,76.1
2015,"Autorități publice locale, nivelul II",,68.7
2015,,Conducere nivel superior,34.5
2015,,"Conducere, execuție",72.0
2016,,,72.5
2016,Administrația publică centrală,,
2016,"Autorități publice locale, nivelul I",,
2016,"Autorități publice locale, nivelul II",,
2016,,Conducere nivel superior,
2016,,"Conducere, execuție",
2017,,,72.4
2017,Administrația publică centrală,,
2017,"Autorități publice locale, nivelul I",,
2017,"Autorități publice locale, nivelul II",,
2017,,Conducere nivel superior,39.2
2017,,"Conducere, execuție",72.6
2018,,,71.1
2018,Administrația publică centrală,,
2018,"Autorități publice locale, nivelul I",,
2018,"Autorități publice locale, nivelul II",,
2018,,Conducere nivel superior,
2018,,"Conducere, execuție",
2019,,,74.2
2019,Administrația publică centrală,,73.0
2019,"Autorități publice locale, nivelul I",,77.6
2019,"Autorități publice locale, nivelul II",,72.8
2019,,Conducere nivel superior,51.6
2019,,"Conducere, execuție",74.2
2020,,,73.6
2020,Administrația publică centrală,,71.9
2020,"Autorități publice locale, nivelul I",,78.6
2020,"Autorități publice locale, nivelul II",,72.8
2020,,Conducere nivel superior,40.9
2020,,"Conducere, execuție",73.6
2021,,,74.4
2021,Administrația publică centrală,,73.0
2021,"Autorități publice locale, nivelul I",,77.2
2021,"Autorități publice locale, nivelul II",,75.0
2021,,Conducere nivel superior,60.0
2021,,"Conducere, execuție",74.5
2022,,,
2022,Administrația publică centrală,,
2022,"Autorități publice locale, nivelul I",,
2022,"Autorități publice locale, nivelul II",,
2022,,Conducere nivel superior,
2022,,"Conducere, execuție",
