Year,Mediu de reședință,Educational level,Wealth quintiles ,Grupa de vârstă,Statut ocupațional,Starea civilă,Value
2010,,,,,,,
2010,Urban,,,,,,
2010,Rural,,,,,,
2010,,Primar,,,,,
2010,,Gimnazial,,,,,
2010,,Secundar general,,,,,
2010,,Secundar profesional,,,,,
2010,,Postsecundar profesional,,,,,
2010,,Superior,,,,,
2010,,,I,,,,
2010,,,II,,,,
2010,,,III,,,,
2010,,,IV,,,,
2010,,,V,,,,
2010,,,,15-19,,,
2010,,,,20-24,,,
2010,,,,25-29,,,
2010,,,,30-34,,,
2010,,,,35-39,,,
2010,,,,40-44,,,
2010,,,,45-49,,,
2010,,,,,Salariată,,
2010,,,,,Self-employed ,,
2010,,,,,Pensionară,,
2010,,,,,Șomeră,,
2010,,,,,Alt statut,,
2010,,,,,,Căsătorită,
2010,,,,,,Concubinaj,
2011,,,,,,,
2011,Urban,,,,,,
2011,Rural,,,,,,
2011,,Primar,,,,,
2011,,Gimnazial,,,,,
2011,,Secundar general,,,,,
2011,,Secundar profesional,,,,,
2011,,Postsecundar profesional,,,,,
2011,,Superior,,,,,
2011,,,I,,,,
2011,,,II,,,,
2011,,,III,,,,
2011,,,IV,,,,
2011,,,V,,,,
2011,,,,15-19,,,
2011,,,,20-24,,,
2011,,,,25-29,,,
2011,,,,30-34,,,
2011,,,,35-39,,,
2011,,,,40-44,,,
2011,,,,45-49,,,
2011,,,,,Salariată,,
2011,,,,,Self-employed ,,
2011,,,,,Pensionară,,
2011,,,,,Șomeră,,
2011,,,,,Alt statut,,
2011,,,,,,Căsătorită,
2011,,,,,,Concubinaj,
2012,,,,,,,
2012,Urban,,,,,,
2012,Rural,,,,,,
2012,,Primar,,,,,
2012,,Gimnazial,,,,,
2012,,Secundar general,,,,,
2012,,Secundar profesional,,,,,
2012,,Postsecundar profesional,,,,,
2012,,Superior,,,,,
2012,,,I,,,,
2012,,,II,,,,
2012,,,III,,,,
2012,,,IV,,,,
2012,,,V,,,,
2012,,,,15-19,,,
2012,,,,20-24,,,
2012,,,,25-29,,,
2012,,,,30-34,,,
2012,,,,35-39,,,
2012,,,,40-44,,,
2012,,,,45-49,,,
2012,,,,,Salariată,,
2012,,,,,Self-employed ,,
2012,,,,,Pensionară,,
2012,,,,,Șomeră,,
2012,,,,,Alt statut,,
2012,,,,,,Căsătorită,
2012,,,,,,Concubinaj,
2013,,,,,,,
2013,Urban,,,,,,
2013,Rural,,,,,,
2013,,Primar,,,,,
2013,,Gimnazial,,,,,
2013,,Secundar general,,,,,
2013,,Secundar profesional,,,,,
2013,,Postsecundar profesional,,,,,
2013,,Superior,,,,,
2013,,,I,,,,
2013,,,II,,,,
2013,,,III,,,,
2013,,,IV,,,,
2013,,,V,,,,
2013,,,,15-19,,,
2013,,,,20-24,,,
2013,,,,25-29,,,
2013,,,,30-34,,,
2013,,,,35-39,,,
2013,,,,40-44,,,
2013,,,,45-49,,,
2013,,,,,Salariată,,
2013,,,,,Self-employed ,,
2013,,,,,Pensionară,,
2013,,,,,Șomeră,,
2013,,,,,Alt statut,,
2013,,,,,,Căsătorită,
2013,,,,,,Concubinaj,
2014,,,,,,,
2014,Urban,,,,,,
2014,Rural,,,,,,
2014,,Primar,,,,,
2014,,Gimnazial,,,,,
2014,,Secundar general,,,,,
