Year,Mediul de reședință,Sex,Age group,Education level,Employment status,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Bărbați,,,,
2010,,Femei,,,,
2010,,,0-17,,,
2010,,,18-29,,,
2010,,,30-39,,,
2010,,,40-49,,,
2010,,,50-59,,,
2010,,,60+,,,
2010,,,,Higher,,
2010,,,,Vocational,,
2010,,,,General secondary,,
2010,,,,Primary or less,,
2010,,,,,Employees,
2010,,,,,Self-employers in agriculture,
2010,,,,,Self-employers in non-agricultural activities,
2010,,,,,Pensioners,
2010,,,,,Others,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Bărbați,,,,
2011,,Femei,,,,
2011,,,0-17,,,
2011,,,18-29,,,
2011,,,30-39,,,
2011,,,40-49,,,
2011,,,50-59,,,
2011,,,60+,,,
2011,,,,Higher,,
2011,,,,Vocational,,
2011,,,,General secondary,,
2011,,,,Primary or less,,
2011,,,,,Employees,
2011,,,,,Self-employers in agriculture,
2011,,,,,Self-employers in non-agricultural activities,
2011,,,,,Pensioners,
2011,,,,,Others,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Bărbați,,,,
2012,,Femei,,,,
2012,,,0-17,,,
2012,,,18-29,,,
2012,,,30-39,,,
2012,,,40-49,,,
2012,,,50-59,,,
2012,,,60+,,,
2012,,,,Higher,,
2012,,,,Vocational,,
2012,,,,General secondary,,
2012,,,,Primary or less,,
2012,,,,,Employees,
2012,,,,,Self-employers in agriculture,
2012,,,,,Self-employers in non-agricultural activities,
2012,,,,,Pensioners,
2012,,,,,Others,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Bărbați,,,,
2013,,Femei,,,,
2013,,,0-17,,,
2013,,,18-29,,,
2013,,,30-39,,,
2013,,,40-49,,,
2013,,,50-59,,,
2013,,,60+,,,
2013,,,,Higher,,
2013,,,,Vocational,,
2013,,,,General secondary,,
2013,,,,Primary or less,,
2013,,,,,Employees,
2013,,,,,Self-employers in agriculture,
2013,,,,,Self-employers in non-agricultural activities,
2013,,,,,Pensioners,
2013,,,,,Others,
2014,,,,,,
2014,Urban,,,,,
2014,Rural,,,,,
2014,,Bărbați,,,,
2014,,Femei,,,,
2014,,,0-17,,,
2014,,,18-29,,,
2014,,,30-39,,,
2014,,,40-49,,,
2014,,,50-59,,,
2014,,,60+,,,
2014,,,,Higher,,
2014,,,,Vocational,,
2014,,,,General secondary,,
2014,,,,Primary or less,,
2014,,,,,Employees,
2014,,,,,Self-employers in agriculture,
2014,,,,,Self-employers in non-agricultural activities,
2014,,,,,Pensioners,
2014,,,,,Others,
2015,,,,,,
2015,Urban,,,,,
2015,Rural,,,,,
2015,,Bărbați,,,,
2015,,Femei,,,,
2015,,,0-17,,,
2015,,,18-29,,,
2015,,,30-39,,,
2015,,,40-49,,,
2015,,,50-59,,,
2015,,,60+,,,
2015,,,,Higher,,
2015,,,,Vocational,,
2015,,,,General secondary,,
2015,,,,Primary or less,,
2015,,,,,Employees,
2015,,,,,Self-employers in agriculture,
2015,,,,,Self-employers in non-agricultural activities,
2015,,,,,Pensioners,
2015,,,,,Others,
2016,,,,,,
2016,Urban,,,,,
2016,Rural,,,,,
2016,,Bărbați,,,,
2016,,Femei,,,,
2016,,,0-17,,,
