Year,Mediul de reședință,Regiuni statistice,Quintile pe cheltuielile de consum,Sexul capului gospodăriei,Tipul de canalizare,Value
2010,,,,,,
2010,Urban,,,,,
2010,Rural,,,,,
2010,,Municipiul Chișinău,,,,
2010,,Nord,,,,
2010,,Centru,,,,
2010,,Sud,,,,
2010,,,I,,,
2010,,,II,,,
2010,,,III,,,
2010,,,IV,,,
2010,,,V,,,
2010,,,,Bărbați,,
2010,,,,Femei,,
2010,,,,,Rețea publică,
2010,,,,,Sistem propriu,
2011,,,,,,
2011,Urban,,,,,
2011,Rural,,,,,
2011,,Municipiul Chișinău,,,,
2011,,Nord,,,,
2011,,Centru,,,,
2011,,Sud,,,,
2011,,,I,,,
2011,,,II,,,
2011,,,III,,,
2011,,,IV,,,
2011,,,V,,,
2011,,,,Bărbați,,
2011,,,,Femei,,
2011,,,,,Rețea publică,
2011,,,,,Sistem propriu,
2012,,,,,,
2012,Urban,,,,,
2012,Rural,,,,,
2012,,Municipiul Chișinău,,,,
2012,,Nord,,,,
2012,,Centru,,,,
2012,,Sud,,,,
2012,,,I,,,
2012,,,II,,,
2012,,,III,,,
2012,,,IV,,,
2012,,,V,,,
2012,,,,Bărbați,,
2012,,,,Femei,,
2012,,,,,Rețea publică,
2012,,,,,Sistem propriu,
2013,,,,,,
2013,Urban,,,,,
2013,Rural,,,,,
2013,,Municipiul Chișinău,,,,
2013,,Nord,,,,
2013,,Centru,,,,
2013,,Sud,,,,
2013,,,I,,,
2013,,,II,,,
2013,,,III,,,
2013,,,IV,,,
2013,,,V,,,
2013,,,,Bărbați,,
2013,,,,Femei,,
2013,,,,,Rețea publică,
2013,,,,,Sistem propriu,
2014,,,,,,62.8
2014,Urban,,,,,92.8
2014,Rural,,,,,41.2
2014,,Municipiul Chișinău,,,,98.2
2014,,Nord,,,,42.9
2014,,Centru,,,,52.5
2014,,Sud,,,,63.8
2014,,,I,,,33.9
2014,,,II,,,52.2
2014,,,III,,,61.1
2014,,,IV,,,79.5
2014,,,V,,,87.2
2014,,,,Bărbați,,63.4
2014,,,,Femei,,61.4
2014,,,,,Rețea publică,32.3
2014,,,,,Sistem propriu,30.4
2015,,,,,,66.6
2015,Urban,,,,,93.8
2015,Rural,,,,,47.0
2015,,Municipiul Chișinău,,,,97.7
2015,,Nord,,,,50.1
2015,,Centru,,,,54.2
2015,,Sud,,,,71.2
2015,,,I,,,35.9
2015,,,II,,,58.6
2015,,,III,,,65.4
2015,,,IV,,,81.5
2015,,,V,,,91.4
2015,,,,Bărbați,,67.1
2015,,,,Femei,,65.3
2015,,,,,Rețea publică,31.9
2015,,,,,Sistem propriu,34.7
2016,,,,,,67.1
2016,Urban,,,,,92.4
2016,Rural,,,,,48.8
2016,,Municipiul Chișinău,,,,98.5
2016,,Nord,,,,48.6
2016,,Centru,,,,57.1
2016,,Sud,,,,70.5
2016,,,I,,,39.2
2016,,,II,,,56.4
2016,,,III,,,69.3
2016,,,IV,,,79.5
2016,,,V,,,90.8
2016,,,,Bărbați,,67.5
2016,,,,Femei,,66.2
2016,,,,,Rețea publică,33.3
2016,,,,,Sistem propriu,33.7
2017,,,,,,69.5
2017,Urban,,,,,93.8
2017,Rural,,,,,52.6
2017,,Municipiul Chișinău,,,,97.7
2017,,Nord,,,,53.9
2017,,Centru,,,,61.6
