Year,Necesități ale consumului,Activități economice,Value
2010,,,785
2010,Menajere,,118
2010,Irigare,,40
2010,Tehnologice,,581
2010,,"Agricultura, silvicultura și pescuit",79
2010,,Industria prelucrătoare,17
2010,,"Energia electrică, gaze și apă",683
2010,,Alte activități,6
2011,,,785
2011,Menajere,,119
2011,Irigare,,39
2011,Tehnologice,,580
2011,,"Agricultura, silvicultura și pescuit",79
2011,,Industria prelucrătoare,17
2011,,"Energia electrică, gaze și apă",683
2011,,Alte activități,6
2012,,,786
2012,Menajere,,118
2012,Irigare,,39
2012,Tehnologice,,580
2012,,"Agricultura, silvicultura și pescuit",80
2012,,Industria prelucrătoare,17
2012,,"Energia electrică, gaze și apă",684
2012,,Alte activități,5
2013,,,782
2013,Menajere,,118
2013,Irigare,,38
2013,Tehnologice,,580
2013,,"Agricultura, silvicultura și pescuit",83
2013,,Industria prelucrătoare,17
2013,,"Energia electrică, gaze și apă",676
2013,,Alte activități,6
2014,,,777
2014,Menajere,,113
2014,Irigare,,38
2014,Tehnologice,,579
2014,,"Agricultura, silvicultura și pescuit",83
2014,,Industria prelucrătoare,17
2014,,"Energia electrică, gaze și apă",670
2014,,Alte activități,7
2015,,,777
2015,Menajere,,114
2015,Irigare,,39
2015,Tehnologice,,579
2015,,"Agricultura, silvicultura și pescuit",81
2015,,Industria prelucrătoare,17
2015,,"Energia electrică, gaze și apă",672
2015,,Alte activități,7
2016,,,776
2016,Menajere,,115
2016,Irigare,,40
2016,Tehnologice,,578
2016,,"Agricultura, silvicultura și pescuit",82
2016,,Industria prelucrătoare,17
2016,,"Energia electrică, gaze și apă",672
2016,,Alte activități,5
2017,,,777
2017,Menajere,,113
2017,Irigare,,40
2017,Tehnologice,,583
2017,,"Agricultura, silvicultura și pescuit",81
2017,,Industria prelucrătoare,17
2017,,"Energia electrică, gaze și apă",674
2017,,Alte activități,5
2018,,,777
2018,Menajere,,111
2018,Irigare,,42
2018,Tehnologice,,582
2018,,"Agricultura, silvicultura și pescuit",82
2018,,Industria prelucrătoare,14
2018,,"Energia electrică, gaze și apă",675
2018,,Alte activități,6
2019,,,777
2019,Menajere,,110
2019,Irigare,,44
2019,Tehnologice,,582
2019,,"Agricultura, silvicultura și pescuit",83
2019,,Industria prelucrătoare,17
2019,,"Energia electrică, gaze și apă",674
2019,,Alte activități,3
2020,,,787
2020,Menajere,,112
2020,Irigare,,50
2020,Tehnologice,,583
2020,,"Agricultura, silvicultura și pescuit",90
2020,,Industria prelucrătoare,15
2020,,"Energia electrică, gaze și apă",677
2020,,Alte activități,5
2021,,,780
2021,Menajere,,112
2021,Irigare,,43
2021,Tehnologice,,583
2021,,"Agricultura, silvicultura și pescuit",83
2021,,Industria prelucrătoare,15
2021,,"Energia electrică, gaze și apă",677
2021,,Alte activități,5
2022,,,845
2022,Menajere,,114
2022,Irigare,,51
2022,Tehnologice,,558
2022,,"Agricultura, silvicultura și pescuit",86
2022,,Industria prelucrătoare,15
2022,,"Energia electrică, gaze și apă",677
2022,,Alte activități,0
2023,,,119
2023,Menajere,,54
2023,Irigare,,18
2023,Tehnologice,,14
2023,,"Agricultura, silvicultura și pescuit",44
2023,,Industria prelucrătoare,6
2023,,"Energia electrică, gaze și apă",67
2023,,Alte activități,0
