Year,Componente ale Managementului Integrat al Resurselor de Apă (IWRM),Value
2010,,
2010,Mediu favorabil,
2010,Instituții,
2010,Instrumente de management,
2010,Finanțare,
2011,,
2011,Mediu favorabil,
2011,Instituții,
2011,Instrumente de management,
2011,Finanțare,
2012,,
2012,Mediu favorabil,
2012,Instituții,
2012,Instrumente de management,
2012,Finanțare,
2013,,
2013,Mediu favorabil,
2013,Instituții,
2013,Instrumente de management,
2013,Finanțare,
2014,,
2014,Mediu favorabil,
2014,Instituții,
2014,Instrumente de management,
2014,Finanțare,
2015,,
2015,Mediu favorabil,
2015,Instituții,
2015,Instrumente de management,
2015,Finanțare,
2016,,
2016,Mediu favorabil,
2016,Instituții,
2016,Instrumente de management,
2016,Finanțare,
2017,,
2017,Mediu favorabil,
2017,Instituții,
2017,Instrumente de management,
2017,Finanțare,
2018,,
2018,Mediu favorabil,
2018,Instituții,
2018,Instrumente de management,
2018,Finanțare,
2019,,
2019,Mediu favorabil,
2019,Instituții,
2019,Instrumente de management,
2019,Finanțare,
2020,,
2020,Mediu favorabil,
2020,Instituții,
2020,Instrumente de management,
2020,Finanțare,
2021,,
2021,Mediu favorabil,
2021,Instituții,
2021,Instrumente de management,
2021,Finanțare,
2022,,
2022,Mediu favorabil,
2022,Instituții,
2022,Instrumente de management,
2022,Finanțare,
