Year,Mediul de reședință,Sisteme de încălzire a locuințelor -,Sisteme de încălzire a locuințelor - urban,Sisteme de încălzire a locuințelor - rural,Pregătirea alimentelor -,Pregătirea alimentelor - urban,Pregătirea alimentelor - rural,Value
2010,,,,,,,,
2010,Urban,,,,,,,
2010,Rural,,,,,,,
2010,,Centralizat,,,,,,
2010,,"Gaz natural, electricitate",,,,,,
2010,,"Lemne, deșeuri și cărbune",,,,,,
2010,,,Centralizat,,,,,
2010,,,"Gaz natural, electricitate",,,,,
2010,,,"Lemne, deșeuri și cărbune",,,,,
2010,,,,Centralizat,,,,
2010,,,,"Gaz natural, electricitate",,,,
2010,,,,"Lemne, deșeuri și cărbune",,,,
2010,,,,,Gaz natural/gaz lichefiat,,,
2010,,,,,"Lemne, deșeuri și cărbune",,,
2010,,,,,Energie electrică,,,
2010,,,,,,Gaz natural/gaz lichefiat,,
2010,,,,,,"Lemne, deșeuri și cărbune",,
2010,,,,,,Energie electrică,,
2010,,,,,,,Gaz natural/gaz lichefiat,
2010,,,,,,,"Lemne, deșeuri și cărbune",
2010,,,,,,,Energie electrică,
2011,,,,,,,,
2011,Urban,,,,,,,
2011,Rural,,,,,,,
2011,,Centralizat,,,,,,
2011,,"Gaz natural, electricitate",,,,,,
2011,,"Lemne, deșeuri și cărbune",,,,,,
2011,,,Centralizat,,,,,
2011,,,"Gaz natural, electricitate",,,,,
2011,,,"Lemne, deșeuri și cărbune",,,,,
2011,,,,Centralizat,,,,
2011,,,,"Gaz natural, electricitate",,,,
2011,,,,"Lemne, deșeuri și cărbune",,,,
2011,,,,,Gaz natural/gaz lichefiat,,,
2011,,,,,"Lemne, deșeuri și cărbune",,,
2011,,,,,Energie electrică,,,
2011,,,,,,Gaz natural/gaz lichefiat,,
2011,,,,,,"Lemne, deșeuri și cărbune",,
2011,,,,,,Energie electrică,,
2011,,,,,,,Gaz natural/gaz lichefiat,
2011,,,,,,,"Lemne, deșeuri și cărbune",
2011,,,,,,,Energie electrică,
2012,,,,,,,,
2012,Urban,,,,,,,
2012,Rural,,,,,,,
2012,,Centralizat,,,,,,
2012,,"Gaz natural, electricitate",,,,,,
2012,,"Lemne, deșeuri și cărbune",,,,,,
2012,,,Centralizat,,,,,
2012,,,"Gaz natural, electricitate",,,,,
2012,,,"Lemne, deșeuri și cărbune",,,,,
2012,,,,Centralizat,,,,
2012,,,,"Gaz natural, electricitate",,,,
2012,,,,"Lemne, deșeuri și cărbune",,,,
2012,,,,,Gaz natural/gaz lichefiat,,,
2012,,,,,"Lemne, deșeuri și cărbune",,,
2012,,,,,Energie electrică,,,
2012,,,,,,Gaz natural/gaz lichefiat,,
2012,,,,,,"Lemne, deșeuri și cărbune",,
2012,,,,,,Energie electrică,,
2012,,,,,,,Gaz natural/gaz lichefiat,
2012,,,,,,,"Lemne, deșeuri și cărbune",
2012,,,,,,,Energie electrică,
2013,,,,,,,,
2013,Urban,,,,,,,
2013,Rural,,,,,,,
2013,,Centralizat,,,,,,
2013,,"Gaz natural, electricitate",,,,,,
2013,,"Lemne, deșeuri și cărbune",,,,,,
2013,,,Centralizat,,,,,
2013,,,"Gaz natural, electricitate",,,,,
2013,,,"Lemne, deșeuri și cărbune",,,,,
2013,,,,Centralizat,,,,
2013,,,,"Gaz natural, electricitate",,,,
