Year,Tipuri de energie,Value
2010,,2633.0
2010,Cărbune,116.0
2010,Gaze naturale,962.0
2010,Produse petroliere,776.0
2010,Biocombustibili și deșeuri,512.0
2010,Energie electrică,267.0
2010,Energie termică,
2011,,2676.0
2011,Cărbune,120.0
2011,Gaze naturale,930.0
2011,Produse petroliere,812.0
2011,Biocombustibili și deșeuri,537.0
2011,Energie electrică,277.0
2011,Energie termică,
2012,,2624.0
2012,Cărbune,116.0
2012,Gaze naturale,885.0
2012,Produse petroliere,764.0
2012,Biocombustibili și deșeuri,574.0
2012,Energie electrică,285.0
2012,Energie termică,
2013,,2643.0
2013,Cărbune,150.0
2013,Gaze naturale,834.0
2013,Produse petroliere,785.0
2013,Biocombustibili și deșeuri,584.0
2013,Energie electrică,290.0
2013,Energie termică,
2014,,2669.0
2014,Cărbune,95.0
2014,Gaze naturale,850.0
2014,Produse petroliere,803.0
2014,Biocombustibili și deșeuri,629.0
2014,Energie electrică,292.0
2014,Energie termică,
2015,,2686.0
2015,Cărbune,102.0
2015,Gaze naturale,816.0
2015,Produse petroliere,829.0
2015,Biocombustibili și deșeuri,650.0
2015,Energie electrică,289.0
2015,Energie termică,
2016,,2796.0
2016,Cărbune,75.0
2016,Gaze naturale,837.0
2016,Produse petroliere,896.0
2016,Biocombustibili și deșeuri,698.0
2016,Energie electrică,290.0
2016,Energie termică,
2017,,2939.0
2017,Cărbune,105.0
2017,Gaze naturale,836.0
2017,Produse petroliere,937.0
2017,Biocombustibili și deșeuri,764.0
2017,Energie electrică,297.0
2017,Energie termică,
2018,,3066.0
2018,Cărbune,80.0
2018,Gaze naturale,911.0
2018,Produse petroliere,1002.0
2018,Biocombustibili și deșeuri,766.0
2018,Energie electrică,307.0
2018,Energie termică,
2019,,2938.0
2019,Cărbune,102.0
2019,Gaze naturale,855.0
2019,Produse petroliere,1018.0
2019,Biocombustibili și deșeuri,652.0
2019,Energie electrică,311.0
2019,Energie termică,
2020,,2807.0
2020,Cărbune,79.0
2020,Gaze naturale,872.0
2020,Produse petroliere,946.0
2020,Biocombustibili și deșeuri,609.0
2020,Energie electrică,301.0
2020,Energie termică,
2021,,3115.0
2021,Cărbune,90.0
2021,Gaze naturale,997.0
2021,Produse petroliere,1064.0
2021,Biocombustibili și deșeuri,640.0
2021,Energie electrică,324.0
2021,Energie termică,
