Year,Tipuri de conturi,Sex,Value
2010,,,
2010,"Deposits, including current",,
2010,Borrow,,
2010,,Bărbați,
2010,,Femei,
2011,,,
2011,"Deposits, including current",,
2011,Borrow,,
2011,,Bărbați,
2011,,Femei,
2012,,,
2012,"Deposits, including current",,
2012,Borrow,,
2012,,Bărbați,
2012,,Femei,
2013,,,
2013,"Deposits, including current",,
2013,Borrow,,
2013,,Bărbați,
2013,,Femei,
2014,,,
2014,"Deposits, including current",,
2014,Borrow,,
2014,,Bărbați,
2014,,Femei,
2015,,,
2015,"Deposits, including current",,
2015,Borrow,,
2015,,Bărbați,
2015,,Femei,
2016,,,
2016,"Deposits, including current",,
2016,Borrow,,
2016,,Bărbați,
2016,,Femei,
2017,,,
2017,"Deposits, including current",,
2017,Borrow,,
2017,,Bărbați,
2017,,Femei,
2018,,,
2018,"Deposits, including current",,
2018,Borrow,,
2018,,Bărbați,
2018,,Femei,
2019,,,
2019,"Deposits, including current",,
2019,Borrow,,
2019,,Bărbați,
2019,,Femei,
2020,,,
2020,"Deposits, including current",,
2020,Borrow,,
2020,,Bărbați,
2020,,Femei,
2021,,,
2021,"Deposits, including current",,
2021,Borrow,,
2021,,Bărbați,
2021,,Femei,
2022,,,
2022,"Deposits, including current",,
2022,Borrow,,
2022,,Bărbați,
2022,,Femei,
