Year,Regiuni,Value
2010,,
2010,Nord,
2010,Sud,
2010,Centru,
2010,UTA Găgăuzia,
2010,Mun. Chișinău,
2011,,12.2
2011,Nord,6.287
2011,Sud,6.769
2011,Centru,6.361
2011,UTA Găgăuzia,-0.443
2011,Mun. Chișinău,14.241
2012,,12.9
2012,Nord,8.374
2012,Sud,5.517
2012,Centru,9.585
2012,UTA Găgăuzia,7.023
2012,Mun. Chișinău,13.614
2013,,11.6
2013,Nord,8.067
2013,Sud,7.843
2013,Centru,11.838
2013,UTA Găgăuzia,5.294
2013,Mun. Chișinău,9.822
2014,,12.4
2014,Nord,9.09
2014,Sud,10.367
2014,Centru,9.163
2014,UTA Găgăuzia,6.756
2014,Mun. Chișinău,11.363
2015,,13.2
2015,Nord,9.753
2015,Sud,8.008
2015,Centru,8.089
2015,UTA Găgăuzia,6.965
2015,Mun. Chișinău,13.536
2016,,14.5
2016,Nord,9.066
2016,Sud,7.807
2016,Centru,7.33
2016,UTA Găgăuzia,6.19
2016,Mun. Chișinău,15.799
2017,,13.5
2017,Nord,11.306
2017,Sud,6.138
2017,Centru,6.203
2017,UTA Găgăuzia,3.695
2017,Mun. Chișinău,14.654
2018,,14.4
2018,Nord,11.151
2018,Sud,7.316
2018,Centru,7.824
2018,UTA Găgăuzia,5.233
2018,Mun. Chișinău,15.425
2019,,14.1
2019,Nord,7.885
2019,Sud,4.927
2019,Centru,6.196
2019,UTA Găgăuzia,0.234
2019,Mun. Chișinău,16.354
2020,,13.7
2020,Nord,5.494
2020,Sud,2.192
2020,Centru,2.923
2020,UTA Găgăuzia,-1.015
2020,Mun. Chișinău,17.513
2021,,13.6
2021,Nord,2.352
2021,Sud,1.215
2021,Centru,1.904
2021,UTA Găgăuzia,-2.66
2021,Mun. Chișinău,17.696
2022,,
2022,Nord,
2022,Sud,
2022,Centru,
2022,UTA Găgăuzia,
2022,Mun. Chișinău,
