Year,"Accidente mortale, după sex","Accidente mortale, după activități economice","Accidente nemortale, după sex","Accidente nemortale, după activități economice",Value
2010,,,,,
2010,Total,,,,6.6
2010,Bărbați,,,,12.7
2010,Femei,,,,1.5
2010,,"Agricultura, silvicultura și pescuit",,,
2010,,Industrie,,,
2010,,Industria extractivă,,,
2010,,Industria prelucrătoare,,,
2010,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2010,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2010,,Construcții,,,
2010,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2010,,Transport și depozitare,,,
2010,,Activitati de cazare si alimentatie publica,,,
2010,,Informații și comunicații,,,
2010,,Activități financiare și de asigurări,,,
2010,,Tranzacții imobiliare,,,
2010,,"Activități profesionale, științifice și tehnice",,,
2010,,Activitati de servicii administrative si activitati de servicii suport,,,
2010,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2010,,Învățământ,,,
2010,,Sănătate și asistență socială,,,
2010,,"Arta, activități de recreere și de agrement",,,
2010,,Alte activități de servicii,,,
2010,,,Total,,91.4
2010,,,Bărbați,,124.8
2010,,,Femei,,60.2
2010,,,,"Agricultura, silvicultura și pescuit",
2010,,,,Industrie,
2010,,,,Industria extractivă,
2010,,,,Industria prelucrătoare,
2010,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2010,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2010,,,,Construcții,
2010,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2010,,,,Transport și depozitare,
2010,,,,Activitati de cazare si alimentatie publica,
2010,,,,Informații și comunicații,
2010,,,,Activități financiare și de asigurări,
2010,,,,Tranzacții imobiliare,
2010,,,,"Activități profesionale, științifice și tehnice",
2010,,,,Activitati de servicii administrative si activitati de servicii suport,
2010,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2010,,,,Învățământ,
2010,,,,Sănătate și asistență socială,
2010,,,,"Arta, activități de recreere și de agrement",
2010,,,,Alte activități de servicii,
2011,,,,,
2011,Total,,,,4.6
2011,Bărbați,,,,10.2
2011,Femei,,,,0.0
2011,,"Agricultura, silvicultura și pescuit",,,
2011,,Industrie,,,
2011,,Industria extractivă,,,
2011,,Industria prelucrătoare,,,
2011,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2011,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2011,,Construcții,,,
2011,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2011,,Transport și depozitare,,,
2011,,Activitati de cazare si alimentatie publica,,,
2011,,Informații și comunicații,,,
2011,,Activități financiare și de asigurări,,,
2011,,Tranzacții imobiliare,,,
2011,,"Activități profesionale, științifice și tehnice",,,
2011,,Activitati de servicii administrative si activitati de servicii suport,,,
2011,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2011,,Învățământ,,,
2011,,Sănătate și asistență socială,,,
2011,,"Arta, activități de recreere și de agrement",,,
2011,,Alte activități de servicii,,,
2011,,,Total,,66.0
2011,,,Bărbați,,119.3
2011,,,Femei,,33.0
2011,,,,"Agricultura, silvicultura și pescuit",
2011,,,,Industrie,
2011,,,,Industria extractivă,
2011,,,,Industria prelucrătoare,
2011,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2011,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2011,,,,Construcții,
2011,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2011,,,,Transport și depozitare,
2011,,,,Activitati de cazare si alimentatie publica,
2011,,,,Informații și comunicații,
2011,,,,Activități financiare și de asigurări,
2011,,,,Tranzacții imobiliare,
2011,,,,"Activități profesionale, științifice și tehnice",
2011,,,,Activitati de servicii administrative si activitati de servicii suport,
2011,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2011,,,,Învățământ,
2011,,,,Sănătate și asistență socială,
2011,,,,"Arta, activități de recreere și de agrement",
2011,,,,Alte activități de servicii,
2012,,,,,
2012,Total,,,,3.4
2012,Bărbați,,,,6.0
2012,Femei,,,,1.2
2012,,"Agricultura, silvicultura și pescuit",,,
2012,,Industrie,,,
2012,,Industria extractivă,,,
2012,,Industria prelucrătoare,,,
2012,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2012,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2012,,Construcții,,,
2012,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2012,,Transport și depozitare,,,
2012,,Activitati de cazare si alimentatie publica,,,
2012,,Informații și comunicații,,,
2012,,Activități financiare și de asigurări,,,
2012,,Tranzacții imobiliare,,,
2012,,"Activități profesionale, științifice și tehnice",,,
