Year,Sex,Value
2010,,
2010,Bărbați,
2010,Femei,
2011,,
2011,Bărbați,
2011,Femei,
2012,,
2012,Bărbați,
2012,Femei,
2013,,0.46
2013,Bărbați,0.36
2013,Femei,0.54
2014,,0.44
2014,Bărbați,0.33
2014,Femei,0.55
2015,,0.48
2015,Bărbați,0.38
2015,Femei,0.56
2016,,0.5
2016,Bărbați,0.38
2016,Femei,0.6
2017,,0.48
2017,Bărbați,0.38
2017,Femei,0.56
2018,,0.46
2018,Bărbați,0.35
2018,Femei,0.56
2019,,0.479
2019,Bărbați,0.361
2019,Femei,0.587
2020,,0.29
2020,Bărbați,0.25
2020,Femei,0.32
2021,,0.27
2021,Bărbați,0.23
2021,Femei,0.3
2022,,0.374
2022,Bărbați,0.312
2022,Femei,0.429
