Year,Tip,Value
2010,Gross disbursements,81.037
2010,Angajamente,482.912
2011,Gross disbursements,138.779
2011,Angajamente,129.089
2012,Gross disbursements,209.926
2012,Angajamente,326.075
2013,Gross disbursements,186.907
2013,Angajamente,139.206
2014,Gross disbursements,267.235
2014,Angajamente,395.276
2015,Gross disbursements,198.502
2015,Angajamente,91.93
2016,Gross disbursements,145.344
2016,Angajamente,333.575
2017,Gross disbursements,100.103
2017,Angajamente,126.478
2018,Gross disbursements,150.042
2018,Angajamente,131.981
2019,Gross disbursements,154.581
2019,Angajamente,148.835
2020,Gross disbursements,183.982
2020,Angajamente,129.503
2021,Gross disbursements,163.855
2021,Angajamente,85.315
2022,Gross disbursements,264.365
2022,Angajamente,234.262
2023,Gross disbursements,203.281
2023,Angajamente,199.576
2024,Gross disbursements,255.039
2024,Angajamente,472.214
