Year,Moduri de transport,Value
2010,,3993.4
2010,Feroviar,398.8
2010,Rutier,2416.7
2010,Taximetre,80.1
2010,Troleibuze,346.8
2010,Fluvial,0.2
2010,Aerian,750.8
2011,,4349.7
2011,Feroviar,363.1
2011,Rutier,2733.4
2011,Taximetre,80.5
2011,Troleibuze,335.1
2011,Fluvial,0.3
2011,Aerian,837.3
2012,,4472.3
2012,Feroviar,347.2
2012,Rutier,2835.5
2012,Taximetre,74.5
2012,Troleibuze,340.1
2012,Fluvial,0.2
2012,Aerian,874.8
2013,,4574.4
2013,Feroviar,329.8
2013,Rutier,3003.6
2013,Taximetre,76.0
2013,Troleibuze,342.3
2013,Fluvial,0.2
2013,Aerian,822.4
2014,,4631.8
2014,Feroviar,256.9
2014,Rutier,2720.3
2014,Taximetre,62.5
2014,Troleibuze,366.9
2014,Fluvial,0.3
2014,Aerian,1224.9
2015,,5071.9
2015,Feroviar,180.8
2015,Rutier,2834.4
2015,Taximetre,100.5
2015,Troleibuze,413.2
2015,Fluvial,0.3
2015,Aerian,1542.7
2016,,5302.1
2016,Feroviar,121.5
2016,Rutier,3005.7
2016,Taximetre,107.8
2016,Troleibuze,415.5
2016,Fluvial,0.3
2016,Aerian,1651.3
2017,,6231.5
2017,Feroviar,99.0
2017,Rutier,3132.4
2017,Taximetre,148.9
2017,Troleibuze,427.0
2017,Fluvial,0.3
2017,Aerian,2423.9
2018,,6597.1
2018,Feroviar,94.6
2018,Rutier,3374.7
2018,Taximetre,219.9
2018,Troleibuze,452.5
2018,Fluvial,0.3
2018,Aerian,2455.3
2019,,6693.2
2019,Feroviar,74.1
2019,Rutier,3512.3
2019,Taximetre,220.6
2019,Troleibuze,498.0
2019,Fluvial,0.3
2019,Aerian,2388.0
2020,,2941.3
2020,Feroviar,29.2
2020,Rutier,1754.8
2020,Taximetre,153.8
2020,Troleibuze,352.8
2020,Fluvial,0.4
2020,Aerian,650.3
2021,,4108.9
2021,Feroviar,23.3
2021,Rutier,2062.1
2021,Taximetre,211.8
2021,Troleibuze,413.3
2021,Fluvial,0.3
2021,Aerian,1398.1
