Year,Sector,Size of enterprises,Value
2010,,,
2010,Industrie,,
2010,,Micro,
2010,,Small,
2010,,Medium,
2011,,,
2011,Industrie,,
2011,,Micro,
2011,,Small,
2011,,Medium,
2012,,,
2012,Industrie,,
2012,,Micro,
2012,,Small,
2012,,Medium,
2013,,,
2013,Industrie,,
2013,,Micro,
2013,,Small,
2013,,Medium,
2014,,,
2014,Industrie,,
2014,,Micro,
2014,,Small,
2014,,Medium,
2015,,,
2015,Industrie,,
2015,,Micro,
2015,,Small,
2015,,Medium,
2016,,,
2016,Industrie,,
2016,,Micro,
2016,,Small,
2016,,Medium,
2017,,,
2017,Industrie,,
2017,,Micro,
2017,,Small,
2017,,Medium,
2018,,,
2018,Industrie,,
2018,,Micro,
2018,,Small,
2018,,Medium,
2019,,,
2019,Industrie,,
2019,,Micro,
2019,,Small,
2019,,Medium,
2020,,,
2020,Industrie,,
2020,,Micro,
2020,,Small,
2020,,Medium,
2021,,,
2021,Industrie,,
2021,,Micro,
2021,,Small,
2021,,Medium,
2022,,,
2022,Industrie,,
2022,,Micro,
2022,,Small,
2022,,Medium,
