Year,Indicatori,Value
2010,Internet mobil la 100 de locuitori,
2010,Internet fix la 100 de locuitori,7.6
2010,Internet fix la 100 gospodării,19.6
2011,Internet mobil la 100 de locuitori,
2011,Internet fix la 100 de locuitori,9.9
2011,Internet fix la 100 gospodării,24.7
2012,Internet mobil la 100 de locuitori,43.2
2012,Internet fix la 100 de locuitori,11.6
2012,Internet fix la 100 gospodării,27.3
2013,Internet mobil la 100 de locuitori,46.3
2013,Internet fix la 100 de locuitori,13.1
2013,Internet fix la 100 gospodării,29.9
2014,Internet mobil la 100 de locuitori,55.8
2014,Internet fix la 100 de locuitori,17.7
2014,Internet fix la 100 gospodării,41.9
2015,Internet mobil la 100 de locuitori,58.7
2015,Internet fix la 100 de locuitori,18.8
2015,Internet fix la 100 gospodării,44.4
2016,Internet mobil la 100 de locuitori,65.0
2016,Internet fix la 100 de locuitori,19.7
2016,Internet fix la 100 gospodării,44.8
2017,Internet mobil la 100 de locuitori,74.0
2017,Internet fix la 100 de locuitori,21.0
2017,Internet fix la 100 gospodării,47.6
2018,Internet mobil la 100 de locuitori,79.4
2018,Internet fix la 100 de locuitori,22.8
2018,Internet fix la 100 gospodării,49.7
2019,Internet mobil la 100 de locuitori,88.7
2019,Internet fix la 100 de locuitori,25.0
2019,Internet fix la 100 gospodării,56.7
2020,Internet mobil la 100 de locuitori,89.7
2020,Internet fix la 100 de locuitori,27.2
2020,Internet fix la 100 gospodării,59.3
2021,Internet mobil la 100 de locuitori,102.4
2021,Internet fix la 100 de locuitori,29.0
2021,Internet fix la 100 gospodării,63.3
2022,Internet mobil la 100 de locuitori,113.6
2022,Internet fix la 100 de locuitori,30.7
2022,Internet fix la 100 gospodării,67.0
