Year,Mediul de reședință,Sex,Grupa de vârstă,Value
2010.0,,,,
2010.0,Urban,,,
2010.0,Rural,,,
2010.0,,Bărbați,,
2010.0,,Femei,,
2010.0,,,0-17,
2010.0,,,18-29,
2010.0,,,30-39,
2010.0,,,40-49,
2010.0,,,50-59,
2010.0,,,60+,
2011.0,,,,
2011.0,Urban,,,
2011.0,Rural,,,
2011.0,,Bărbați,,
2011.0,,Femei,,
2011.0,,,0-17,
2011.0,,,18-29,
2011.0,,,30-39,
2011.0,,,40-49,
2011.0,,,50-59,
2011.0,,,60+,
2012.0,,,,
2012.0,Urban,,,
2012.0,Rural,,,
2012.0,,Bărbați,,
2012.0,,Femei,,
2012.0,,,0-17,
2012.0,,,18-29,
2012.0,,,30-39,
2012.0,,,40-49,
2012.0,,,50-59,
2012.0,,,60+,
2013.0,,,,
2013.0,Urban,,,
2013.0,Rural,,,
2013.0,,Bărbați,,
2013.0,,Femei,,
2013.0,,,0-17,
2013.0,,,18-29,
2013.0,,,30-39,
2013.0,,,40-49,
2013.0,,,50-59,
2013.0,,,60+,
2014.0,,,,
2014.0,Urban,,,
2014.0,Rural,,,
2014.0,,Bărbați,,
2014.0,,Femei,,
2014.0,,,0-17,
2014.0,,,18-29,
2014.0,,,30-39,
2014.0,,,40-49,
2014.0,,,50-59,
2014.0,,,60+,
2015.0,,,,
2015.0,Urban,,,
2015.0,Rural,,,
2015.0,,Bărbați,,
2015.0,,Femei,,
2015.0,,,0-17,
2015.0,,,18-29,
2015.0,,,30-39,
2015.0,,,40-49,
2015.0,,,50-59,
2015.0,,,60+,
2016.0,,,,
2016.0,Urban,,,
2016.0,Rural,,,
2016.0,,Bărbați,,
2016.0,,Femei,,
2016.0,,,0-17,
2016.0,,,18-29,
2016.0,,,30-39,
2016.0,,,40-49,
2016.0,,,50-59,
2016.0,,,60+,
2017.0,,,,
2017.0,Urban,,,
2017.0,Rural,,,
2017.0,,Bărbați,,
2017.0,,Femei,,
2017.0,,,0-17,
2017.0,,,18-29,
2017.0,,,30-39,
2017.0,,,40-49,
2017.0,,,50-59,
2017.0,,,60+,
2018.0,,,,
2018.0,Urban,,,
2018.0,Rural,,,
2018.0,,Bărbați,,
2018.0,,Femei,,
2018.0,,,0-17,
2018.0,,,18-29,
2018.0,,,30-39,
2018.0,,,40-49,
2018.0,,,50-59,
2018.0,,,60+,
2019.0,,,,
2019.0,Urban,,,
2019.0,Rural,,,
2019.0,,Bărbați,,
2019.0,,Femei,,
2019.0,,,0-17,
2019.0,,,18-29,
2019.0,,,30-39,
2019.0,,,40-49,
2019.0,,,50-59,
2019.0,,,60+,
2020.0,,,,
2020.0,Urban,,,
2020.0,Rural,,,
2020.0,,Bărbați,,
2020.0,,Femei,,
2020.0,,,0-17,
2020.0,,,18-29,
2020.0,,,30-39,
2020.0,,,40-49,
2020.0,,,50-59,
2020.0,,,60+,
2021.0,,,,
2021.0,Urban,,,
2021.0,Rural,,,
2021.0,,Bărbați,,
2021.0,,Femei,,
2021.0,,,0-17,
2021.0,,,18-29,
2021.0,,,30-39,
2021.0,,,40-49,
2021.0,,,50-59,
2021.0,,,60+,
2022.0,,,,
2022.0,Urban,,,
2022.0,Rural,,,
2022.0,,Bărbați,,
2022.0,,Femei,,
2022.0,,,0-17,
2022.0,,,18-29,
2022.0,,,30-39,
2022.0,,,40-49,
2022.0,,,50-59,
2022.0,,,60+,
,,,,
,Urban,,,
,Rural,,,
,,Bărbați,,
,,Femei,,
,,,0-17,
,,,18-29,
,,,30-39,
,,,40-49,
,,,50-59,
,,,60+,
,,,,
,Urban,,,
,Rural,,,
,,Bărbați,,
,,Femei,,
,,,0-17,
,,,18-29,
,,,30-39,
,,,40-49,
,,,50-59,
,,,60+,
