Year,Sex,Grupa de vârstă,Value
2010,,,
2010,Bărbați,,
2010,Femei,,
2010,,15-34,
2010,,35-44,
2010,,45-54,
2010,,55-60,
2010,,60+,
2011,,,
2011,Bărbați,,
2011,Femei,,
2011,,15-34,
2011,,35-44,
2011,,45-54,
2011,,55-60,
2011,,60+,
2012,,,
2012,Bărbați,,
2012,Femei,,
2012,,15-34,
2012,,35-44,
2012,,45-54,
2012,,55-60,
2012,,60+,
2013,,,
2013,Bărbați,,
2013,Femei,,
2013,,15-34,
2013,,35-44,
2013,,45-54,
2013,,55-60,
2013,,60+,
2014,,,17.4
2014,Bărbați,,13.0
2014,Femei,,22.0
2014,,15-34,16.2
2014,,35-44,14.6
2014,,45-54,18.0
2014,,55-60,19.2
2014,,60+,26.8
2015,,,17.1
2015,Bărbați,,12.8
2015,Femei,,21.5
2015,,15-34,15.0
2015,,35-44,14.5
2015,,45-54,17.9
2015,,55-60,19.3
2015,,60+,27.0
2016,,,16.8
2016,Bărbați,,12.5
2016,Femei,,21.2
2016,,15-34,15.3
2016,,35-44,14.5
2016,,45-54,17.4
2016,,55-60,18.1
2016,,60+,24.4
2017,,,17.7
2017,Bărbați,,13.0
2017,Femei,,22.6
2017,,15-34,16.8
2017,,35-44,15.2
2017,,45-54,17.8
2017,,55-60,18.2
2017,,60+,25.5
2018,,,16.5
2018,Bărbați,,13.0
2018,Femei,,20.2
2018,,15-34,14.7
2018,,35-44,14.6
2018,,45-54,18.0
2018,,55-60,21.2
2018,,60+,17.5
2019,,,21.5
2019,Bărbați,,16.7
2019,Femei,,26.6
2019,,15-34,18.0
2019,,35-44,18.9
2019,,45-54,20.3
2019,,55-60,29.2
2019,,60+,33.0
2020,,,28.7
2020,Bărbați,,22.4
2020,Femei,,35.5
2020,,15-34,23.7
2020,,35-44,24.9
2020,,45-54,27.7
2020,,55-60,37.6
2020,,60+,45.3
2021,,,29.8
2021,Bărbați,,23.6
2021,Femei,,36.7
2021,,15-34,24.0
2021,,35-44,25.8
2021,,45-54,28.7
2021,,55-60,38.8
2021,,60+,50.6
2022,,,27.2
2022,Bărbați,,21.2
2022,Femei,,33.5
2022,,15-34,22.8
2022,,35-44,23.8
2022,,45-54,25.1
2022,,55-60,34.4
2022,,60+,45.0
