Year,Mediul de reședință,Sex,Grupa de vârstă,Sub-indicatori,Value
2010,,,,,
2010,Urban,,,,
2010,Rural,,,,
2010,,Bărbați,,,
2010,,Femei,,,
2010,,,0-17,,
2010,,,15+,,
2010,,,57+ (femei) / 62+ (bărbați),,
2010,,,,Acces la electricitate,
2010,,,,Acces la surse gestionate sigur de apă,
2010,,,,Acces la canalizare,
2010,,,,Acces la internet,
2011,,,,,
2011,Urban,,,,
2011,Rural,,,,
2011,,Bărbați,,,
2011,,Femei,,,
2011,,,0-17,,
2011,,,15+,,
2011,,,57+ (femei) / 62+ (bărbați),,
2011,,,,Acces la electricitate,
2011,,,,Acces la surse gestionate sigur de apă,
2011,,,,Acces la canalizare,
2011,,,,Acces la internet,
2012,,,,,
2012,Urban,,,,
2012,Rural,,,,
2012,,Bărbați,,,
2012,,Femei,,,
2012,,,0-17,,
2012,,,15+,,
2012,,,57+ (femei) / 62+ (bărbați),,
2012,,,,Acces la electricitate,
2012,,,,Acces la surse gestionate sigur de apă,
2012,,,,Acces la canalizare,
2012,,,,Acces la internet,
2013,,,,,
2013,Urban,,,,
2013,Rural,,,,
2013,,Bărbați,,,
2013,,Femei,,,
2013,,,0-17,,
2013,,,15+,,
2013,,,57+ (femei) / 62+ (bărbați),,
2013,,,,Acces la electricitate,
2013,,,,Acces la surse gestionate sigur de apă,
2013,,,,Acces la canalizare,
2013,,,,Acces la internet,
2014,,,,,62.5
2014,Urban,,,,92.8
2014,Rural,,,,40.8
2014,,Bărbați,,,62.7
2014,,Femei,,,62.4
2014,,,0-17,,62.5
2014,,,15+,,62.6
2014,,,57+ (femei) / 62+ (bărbați),,52.7
2014,,,,Acces la electricitate,100.0
2014,,,,Acces la surse gestionate sigur de apă,73.063
2014,,,,Acces la canalizare,62.8
2014,,,,Acces la internet,
2015,,,,,66.1
2015,Urban,,,,93.5
2015,Rural,,,,46.5
2015,,Bărbați,,,65.9
2015,,Femei,,,66.3
2015,,,0-17,,66.4
2015,,,15+,,65.9
2015,,,57+ (femei) / 62+ (bărbați),,56.5
2015,,,,Acces la electricitate,100.0
2015,,,,Acces la surse gestionate sigur de apă,76.983
2015,,,,Acces la canalizare,66.6
2015,,,,Acces la internet,
2016,,,,,66.7
2016,Urban,,,,92.0
2016,Rural,,,,48.4
2016,,Bărbați,,,66.0
2016,,Femei,,,67.2
2016,,,0-17,,66.3
2016,,,15+,,66.5
2016,,,57+ (femei) / 62+ (bărbați),,59.0
2016,,,,Acces la electricitate,100.0
2016,,,,Acces la surse gestionate sigur de apă,77.25
2016,,,,Acces la canalizare,67.1
2016,,,,Acces la internet,
2017,,,,,69.2
2017,Urban,,,,93.4
2017,Rural,,,,52.3
2017,,Bărbați,,,69.4
2017,,Femei,,,69.1
2017,,,0-17,,67.2
2017,,,15+,,69.4
2017,,,57+ (femei) / 62+ (bărbați),,62.7
2017,,,,Acces la electricitate,100.0
2017,,,,Acces la surse gestionate sigur de apă,80.818
2017,,,,Acces la canalizare,69.5
2017,,,,Acces la internet,
2018,,,,,72.1
2018,Urban,,,,95.1
2018,Rural,,,,56.1
2018,,Bărbați,,,72.3
2018,,Femei,,,72.0
2018,,,0-17,,73.2
2018,,,15+,,71.6
2018,,,57+ (femei) / 62+ (bărbați),,65.7
2018,,,,Acces la electricitate,100.0
2018,,,,Acces la surse gestionate sigur de apă,82.079
2018,,,,Acces la canalizare,72.3
2018,,,,Acces la internet,
2019,,,,,61.002
2019,Urban,,,,80.909
2019,Rural,,,,47.858
2019,,Bărbați,,,61.404
2019,,Femei,,,60.651
2019,,,0-17,,71.44
2019,,,15+,,58.335
2019,,,57+ (femei) / 62+ (bărbați),,39.45
2019,,,,Acces la electricitate,99.992
2019,,,,Acces la surse gestionate sigur de apă,83.144
2019,,,,Acces la canalizare,74.519
2019,,,,Acces la internet,70.796
2020,,,,,65.161
2020,Urban,,,,84.211
2020,Rural,,,,52.609
2020,,Bărbați,,,66.251
2020,,Femei,,,64.166
2020,,,0-17,,76.172
2020,,,15+,,62.5
2020,,,57+ (femei) / 62+ (bărbați),,43.857
2020,,,,Acces la electricitate,99.988
2020,,,,Acces la surse gestionate sigur de apă,85.342
2020,,,,Acces la canalizare,77.619
2020,,,,Acces la internet,74.195
2021,,,,,68.448
2021,Urban,,,,85.413
2021,Rural,,,,57.296
2021,,Bărbați,,,69.222
2021,,Femei,,,67.796
2021,,,0-17,,79.632
2021,,,15+,,65.881
2021,,,57+ (femei) / 62+ (bărbați),,43.571
2021,,,,Acces la electricitate,99.986
2021,,,,Acces la surse gestionate sigur de apă,86.411
2021,,,,Acces la canalizare,80.394
2021,,,,Acces la internet,76.424
2022,,,,,69.282
2022,Urban,,,,85.272
2022,Rural,,,,58.779
2022,,Bărbați,,,69.923
2022,,Femei,,,68.739
2022,,,0-17,,81.022
2022,,,15+,,66.351
2022,,,57+ (femei) / 62+ (bărbați),,45.745
2022,,,,Acces la electricitate,100.0
2022,,,,Acces la surse gestionate sigur de apă,88.522
2022,,,,Acces la canalizare,81.464
2022,,,,Acces la internet,77.577
2023,,,,,72.764
2023,Urban,,,,85.885
2023,Rural,,,,62.9
2023,,Bărbați,,,73.754
2023,,Femei,,,71.93
2023,,,0-17,,82.362
2023,,,15+,,70.718
2023,,,57+ (femei) / 62+ (bărbați),,51.218
2023,,,,Acces la electricitate,100.0
2023,,,,Acces la surse gestionate sigur de apă,90.729
2023,,,,Acces la canalizare,85.02
2023,,,,Acces la internet,79.071
