Year,Clase SE,Grupa de vârstă,Value
2010,,,
2010,Tehnogen,,
2010,Natural (pe genuri),,
2010,Biologico-social,,
2010,Incendii,,
2010,,Inclusiv copii (0-17 ani),
2010,,18 ani și peste,
2011,,,
2011,Tehnogen,,
2011,Natural (pe genuri),,
2011,Biologico-social,,
2011,Incendii,,
2011,,Inclusiv copii (0-17 ani),
2011,,18 ani și peste,
2012,,,
2012,Tehnogen,,
2012,Natural (pe genuri),,
2012,Biologico-social,,
2012,Incendii,,
2012,,Inclusiv copii (0-17 ani),
2012,,18 ani și peste,
2013,,,45.8
2013,Tehnogen,,0.0
2013,Natural (pe genuri),,9.9
2013,Biologico-social,,3.7
2013,Incendii,,32.2
2013,,Inclusiv copii (0-17 ani),2.3
2013,,18 ani și peste,43.5
2014,,,94.0
2014,Tehnogen,,0.1
2014,Natural (pe genuri),,42.8
2014,Biologico-social,,14.9
2014,Incendii,,36.2
2014,,Inclusiv copii (0-17 ani),5.5
2014,,18 ani și peste,88.5
2015,,,30.4
2015,Tehnogen,,0.4
2015,Natural (pe genuri),,0.0
2015,Biologico-social,,4.2
2015,Incendii,,25.9
2015,,Inclusiv copii (0-17 ani),2.1
2015,,18 ani și peste,28.3
2016,,,57.4
2016,Tehnogen,,0.3
2016,Natural (pe genuri),,23.1
2016,Biologico-social,,11.0
2016,Incendii,,22.9
2016,,Inclusiv copii (0-17 ani),6.3
2016,,18 ani și peste,51.1
2017,,,65.9
2017,Tehnogen,,0.0
2017,Natural (pe genuri),,50.6
2017,Biologico-social,,1.7
2017,Incendii,,13.7
2017,,Inclusiv copii (0-17 ani),6.2
2017,,18 ani și peste,60.0
2018,,,36.5
2018,Tehnogen,,0.6
2018,Natural (pe genuri),,6.7
2018,Biologico-social,,8.5
2018,Incendii,,20.9
2018,,Inclusiv copii (0-17 ani),4.7
2018,,18 ani și peste,32.0
2019,,,18.9
2019,Tehnogen,,0.2
2019,Natural (pe genuri),,0.0
2019,Biologico-social,,0.1
2019,Incendii,,18.6
2019,,Inclusiv copii (0-17 ani),0.0
2019,,18 ani și peste,19.0
2020,,,14.6
2020,Tehnogen,,0.2
2020,Natural (pe genuri),,0.0
2020,Biologico-social,,1.6
2020,Incendii,,12.8
2020,,Inclusiv copii (0-17 ani),1.7
2020,,18 ani și peste,12.9
2021,,,13.4
2021,Tehnogen,,0.3
2021,Natural (pe genuri),,0.0
2021,Biologico-social,,0.0
2021,Incendii,,13.1
2021,,Inclusiv copii (0-17 ani),0.1
2021,,18 ani și peste,13.3
2022,,,12.3
2022,Tehnogen,,0.2
2022,Natural (pe genuri),,0.0
2022,Biologico-social,,0.0
2022,Incendii,,11.8
2022,,Inclusiv copii (0-17 ani),0.0
2022,,18 ani și peste,12.3
