Year,Clase Situații excepționale,Value
2010,,
2010,Tehnogen,
2010,Natural (pe genuri),
2010,Biologico-social,
2010,Incendii,
2011,,
2011,Tehnogen,
2011,Natural (pe genuri),
2011,Biologico-social,
2011,Incendii,
2012,,
2012,Tehnogen,
2012,Natural (pe genuri),
2012,Biologico-social,
2012,Incendii,
2013,,
2013,Tehnogen,
2013,Natural (pe genuri),
2013,Biologico-social,
2013,Incendii,
2014,,0.198
2014,Tehnogen,0.003
2014,Natural (pe genuri),0.145
2014,Biologico-social,0.0
2014,Incendii,0.05
2015,,0.316
2015,Tehnogen,0.003
2015,Natural (pe genuri),0.273
2015,Biologico-social,0.0
2015,Incendii,0.04
2016,,0.35
2016,Tehnogen,0.08
2016,Natural (pe genuri),0.25
2016,Biologico-social,0.0
2016,Incendii,0.03
2017,,0.27
2017,Tehnogen,0.0
2017,Natural (pe genuri),0.23
2017,Biologico-social,0.0
2017,Incendii,0.03
2018,,0.19
2018,Tehnogen,0.0
2018,Natural (pe genuri),0.16
2018,Biologico-social,0.0
2018,Incendii,0.04
2019,,0.52
2019,Tehnogen,0.0
2019,Natural (pe genuri),0.48
2019,Biologico-social,0.0
2019,Incendii,0.03
2020,,3.35
2020,Tehnogen,0.0
2020,Natural (pe genuri),3.28
2020,Biologico-social,0.0
2020,Incendii,0.7
2021,,0.31
2021,Tehnogen,0.0
2021,Natural (pe genuri),0.28
2021,Biologico-social,0.0
2021,Incendii,0.03
2022,,1.89
2022,Tehnogen,0.0
2022,Natural (pe genuri),1.86
2022,Biologico-social,0.0
2022,Incendii,0.03
2023,,0.28
2023,Tehnogen,0.0
2023,Natural (pe genuri),0.24
2023,Biologico-social,0.01
2023,Incendii,0.04
2024,,1.49
2024,Tehnogen,0.001
2024,Natural (pe genuri),1.44
2024,Biologico-social,0.001
2024,Incendii,0.049
