Year,Clase Situații excepționale,Grupa de vârstă,Sex,Value
2010,,,,
2010,Tehnogen,,,
2010,Natural (pe genuri),,,
2010,Biologico-social,,,
2010,Incendii,,,
2010,,0-17 ani,,
2010,,18 ani și peste,,
2010,,,Bărbați,
2010,,,Femei,
2011,,,,
2011,Tehnogen,,,
2011,Natural (pe genuri),,,
2011,Biologico-social,,,
2011,Incendii,,,
2011,,0-17 ani,,
2011,,18 ani și peste,,
2011,,,Bărbați,
2011,,,Femei,
2012,,,,
2012,Tehnogen,,,
2012,Natural (pe genuri),,,
2012,Biologico-social,,,
2012,Incendii,,,
2012,,0-17 ani,,
2012,,18 ani și peste,,
2012,,,Bărbați,
2012,,,Femei,
2013,,,,0.0
2013,Tehnogen,,,0.0
2013,Natural (pe genuri),,,0.0
2013,Biologico-social,,,0.0
2013,Incendii,,,0.0
2013,,0-17 ani,,0.0
2013,,18 ani și peste,,0.0
2013,,,Bărbați,0.0
2013,,,Femei,0.0
2014,,,,0.0
2014,Tehnogen,,,0.0
2014,Natural (pe genuri),,,0.0
2014,Biologico-social,,,0.0
2014,Incendii,,,0.0
2014,,0-17 ani,,0.0
2014,,18 ani și peste,,0.0
2014,,,Bărbați,0.0
2014,,,Femei,0.0
2015,,,,0.0
2015,Tehnogen,,,0.0
2015,Natural (pe genuri),,,0.0
2015,Biologico-social,,,0.0
2015,Incendii,,,0.0
2015,,0-17 ani,,0.0
2015,,18 ani și peste,,0.0
2015,,,Bărbați,0.0
2015,,,Femei,0.0
2016,,,,0.0
2016,Tehnogen,,,0.0
2016,Natural (pe genuri),,,0.0
2016,Biologico-social,,,0.0
2016,Incendii,,,0.0
2016,,0-17 ani,,0.0
2016,,18 ani și peste,,0.0
2016,,,Bărbați,0.0
2016,,,Femei,0.0
2017,,,,0.0
2017,Tehnogen,,,0.0
2017,Natural (pe genuri),,,0.0
2017,Biologico-social,,,0.0
2017,Incendii,,,0.0
2017,,0-17 ani,,0.0
2017,,18 ani și peste,,0.0
2017,,,Bărbați,0.0
2017,,,Femei,0.0
2018,,,,0.0
2018,Tehnogen,,,0.0
2018,Natural (pe genuri),,,0.0
2018,Biologico-social,,,0.0
2018,Incendii,,,0.0
2018,,0-17 ani,,0.0
2018,,18 ani și peste,,0.0
2018,,,Bărbați,0.0
2018,,,Femei,0.0
2019,,,,0.0
2019,Tehnogen,,,0.0
2019,Natural (pe genuri),,,0.0
2019,Biologico-social,,,0.0
2019,Incendii,,,0.0
2019,,0-17 ani,,0.0
2019,,18 ani și peste,,0.0
2019,,,Bărbați,0.0
2019,,,Femei,0.0
2020,,,,0.0
2020,Tehnogen,,,0.0
2020,Natural (pe genuri),,,0.0
2020,Biologico-social,,,0.0
2020,Incendii,,,0.0
2020,,0-17 ani,,0.0
2020,,18 ani și peste,,0.0
2020,,,Bărbați,0.0
2020,,,Femei,0.0
2021,,,,0.0
2021,Tehnogen,,,0.0
2021,Natural (pe genuri),,,0.0
2021,Biologico-social,,,0.0
2021,Incendii,,,0.0
2021,,0-17 ani,,0.0
2021,,18 ani și peste,,0.0
2021,,,Bărbați,0.0
2021,,,Femei,0.0
2022,,,,0.0
2022,Tehnogen,,,0.0
2022,Natural (pe genuri),,,0.0
2022,Biologico-social,,,0.0
2022,Incendii,,,0.0
2022,,0-17 ani,,0.0
2022,,18 ani și peste,,0.0
2022,,,Bărbați,0.0
2022,,,Femei,0.0
2023,,,,0.0
2023,Tehnogen,,,0.0
2023,Natural (pe genuri),,,0.0
2023,Biologico-social,,,0.0
2023,Incendii,,,0.0
2023,,0-17 ani,,0.0
2023,,18 ani și peste,,0.0
2023,,,Bărbați,0.0
2023,,,Femei,0.0
2024,,,,0.0
2024,Tehnogen,,,0.0
2024,Natural (pe genuri),,,0.0
2024,Biologico-social,,,0.0
2024,Incendii,,,0.0
2024,,0-17 ani,,0.0
2024,,18 ani și peste,,0.0
2024,,,Bărbați,0.0
2024,,,Femei,0.0
