Year,"Raportat pe o persoană, pe surse","Raportat pe o persoană, pe ingrediente","Cantitatea emisiilor, total","Cantitatea emisiilor, pe surse","Cantitatea emisiilor, pe ingrediente",Value
2010,,,,,,
2010,Auto,,,,,
2010,Feroviar,,,,,
2010,Aerian,,,,,
2010,,Oxid de carbon,,,,
2010,,Dioxid de azot,,,,
2010,,Dioxid de sulf,,,,
2010,,Hidrocarburi,,,,
2010,,Aldehide,,,,
2010,,Substanțe solide,,,,
2010,,,Total,,,154.8
2010,,,,Auto,,146.5
2010,,,,Feroviar,,1.6
2010,,,,Aerian,,6.7
2010,,,,,Oxid de carbon,109.2
2010,,,,,Dioxid de azot,15.8
2010,,,,,Dioxid de sulf,3.9
2010,,,,,Hidrocarburi,15.0
2010,,,,,Aldehide,8.3
2010,,,,,Substanțe solide,2.6
2011,,,,,,
2011,Auto,,,,,
2011,Feroviar,,,,,
2011,Aerian,,,,,
2011,,Oxid de carbon,,,,
2011,,Dioxid de azot,,,,
2011,,Dioxid de sulf,,,,
2011,,Hidrocarburi,,,,
2011,,Aldehide,,,,
2011,,Substanțe solide,,,,
2011,,,Total,,,188.7
2011,,,,Auto,,174.8
2011,,,,Feroviar,,4.0
2011,,,,Aerian,,9.9
2011,,,,,Oxid de carbon,134.7
2011,,,,,Dioxid de azot,18.4
2011,,,,,Dioxid de sulf,4.5
2011,,,,,Hidrocarburi,21.0
2011,,,,,Aldehide,7.4
2011,,,,,Substanțe solide,2.7
2012,,,,,,
2012,Auto,,,,,
2012,Feroviar,,,,,
2012,Aerian,,,,,
2012,,Oxid de carbon,,,,
2012,,Dioxid de azot,,,,
2012,,Dioxid de sulf,,,,
2012,,Hidrocarburi,,,,
2012,,Aldehide,,,,
2012,,Substanțe solide,,,,
2012,,,Total,,,154.2
2012,,,,Auto,,140.1
2012,,,,Feroviar,,2.7
2012,,,,Aerian,,11.4
2012,,,,,Oxid de carbon,118.3
2012,,,,,Dioxid de azot,14.3
2012,,,,,Dioxid de sulf,3.3
2012,,,,,Hidrocarburi,15.1
2012,,,,,Aldehide,1.0
2012,,,,,Substanțe solide,2.0
2013,,,,,,
2013,Auto,,,,,
2013,Feroviar,,,,,
2013,Aerian,,,,,
2013,,Oxid de carbon,,,,
2013,,Dioxid de azot,,,,
2013,,Dioxid de sulf,,,,
2013,,Hidrocarburi,,,,
2013,,Aldehide,,,,
2013,,Substanțe solide,,,,
2013,,,Total,,,226.6
2013,,,,Auto,,213.1
2013,,,,Feroviar,,2.8
2013,,,,Aerian,,10.7
2013,,,,,Oxid de carbon,165.1
2013,,,,,Dioxid de azot,24.9
2013,,,,,Dioxid de sulf,6.7
2013,,,,,Hidrocarburi,24.2
2013,,,,,Aldehide,1.7
2013,,,,,Substanțe solide,4.0
2014,,,,,,68.0
2014,Auto,,,,,62.6
2014,Feroviar,,,,,0.9
2014,Aerian,,,,,4.5
2014,,Oxid de carbon,,,,52.2
2014,,Dioxid de azot,,,,5.6
2014,,Dioxid de sulf,,,,1.2
2014,,Hidrocarburi,,,,7.8
2014,,Aldehide,,,,0.3
2014,,Substanțe solide,,,,0.9
2014,,,Total,,,194.3
2014,,,,Auto,,179.0
2014,,,,Feroviar,,2.7
2014,,,,Aerian,,12.6
2014,,,,,Oxid de carbon,149.2
2014,,,,,Dioxid de azot,16.0
2014,,,,,Dioxid de sulf,3.5
2014,,,,,Hidrocarburi,22.4
2014,,,,,Aldehide,1.0
2014,,,,,Substanțe solide,2.2
2015,,,,,,68.5
2015,Auto,,,,,63.1
2015,Feroviar,,,,,1.0
2015,Aerian,,,,,4.4
2015,,Oxid de carbon,,,,52.6
2015,,Dioxid de azot,,,,5.6
2015,,Dioxid de sulf,,,,1.2
2015,,Hidrocarburi,,,,7.9
2015,,Aldehide,,,,0.4
2015,,Substanțe solide,,,,0.8
2015,,,Total,,,194.3
2015,,,,Auto,,178.9
2015,,,,Feroviar,,2.7
2015,,,,Aerian,,12.6
2015,,,,,Oxid de carbon,149.2
2015,,,,,Dioxid de azot,16.0
2015,,,,,Dioxid de sulf,3.5
2015,,,,,Hidrocarburi,22.4
2015,,,,,Aldehide,1.0
2015,,,,,Substanțe solide,2.2
2016,,,,,,71.9
2016,Auto,,,,,59.2
2016,Feroviar,,,,,1.0
