Year,Orașe,Value
2010,,
2010,Chișinău,
2010,Leova,5.9
2010,Bălți,274.0
2010,Tiraspol,102.0
2010,Bender,42.0
2010,Râbnița,160.0
2011,,
2011,Chișinău,
2011,Leova,17.1
2011,Bălți,310.0
2011,Tiraspol,103.0
2011,Bender,55.0
2011,Râbnița,122.0
2012,,
2012,Chișinău,
2012,Leova,16.1
2012,Bălți,283.0
2012,Tiraspol,70.0
2012,Bender,55.0
2012,Râbnița,103.0
2013,,
2013,Chișinău,23.7
2013,Leova,30.3
2013,Bălți,300.0
2013,Tiraspol,60.0
2013,Bender,44.0
2013,Râbnița,76.0
2014,,
2014,Chișinău,28.8
2014,Leova,19.2
2014,Bălți,177.0
2014,Tiraspol,92.0
2014,Bender,41.0
2014,Râbnița,105.0
2015,,
2015,Chișinău,33.0
2015,Leova,
2015,Bălți,282.0
2015,Tiraspol,80.0
2015,Bender,45.0
2015,Râbnița,115.0
2016,,
2016,Chișinău,27.2
2016,Leova,
2016,Bălți,230.0
2016,Tiraspol,60.0
2016,Bender,43.0
2016,Râbnița,95.0
2017,,
2017,Chișinău,30.7
2017,Leova,22.8
2017,Bălți,200.0
2017,Tiraspol,46.0
2017,Bender,39.0
2017,Râbnița,95.0
2018,,
2018,Chișinău,43.0
2018,Leova,
2018,Bălți,204.0
2018,Tiraspol,42.0
2018,Bender,45.0
2018,Râbnița,109.0
2019,,
2019,Chișinău,58.0
2019,Leova,
2019,Bălți,185.0
2019,Tiraspol,59.0
2019,Bender,54.0
2019,Râbnița,127.0
2020,,
2020,Chișinău,82.0
2020,Leova,
2020,Bălți,192.0
2020,Tiraspol,57.0
2020,Bender,47.0
2020,Râbnița,124.0
2021,,
2021,Chișinău,63.0
2021,Leova,
2021,Bălți,203.0
2021,Tiraspol,38.0
2021,Bender,41.0
2021,Râbnița,103.0
2022,,
2022,Chișinău,45.0
2022,Leova,
2022,Bălți,164.0
2022,Tiraspol,47.0
2022,Bender,52.0
2022,Râbnița,124.0
