Year,Sex,Grupa de vârstă,Age group.1,Place,Dizabilitate,Mediul de reședință,Form of violence ,Value
2010,,,,,,,,
2010,Bărbați,,,,,,,
2010,Femei,,,,,,,
2010,,0-14,,,,,,
2010,,,15-24,,,,,
2010,,,25-34,,,,,
2010,,,35-44,,,,,
2010,,,45-54,,,,,
2010,,,55+,,,,,
2010,,,,xx,,,,
2010,,,,,,,,
2010,,,,xx,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,,,,
2010,,,,,xx,,,
2010,,,,,xx,,,
2010,,,,,xx,,,
2010,,,,,,Urban,,
2010,,,,,,Rural,,
2010,,,,,,,xx,
2010,,,,,,,xx,
2010,,,,,,,xx,
2011,,,,,,,,
2011,Bărbați,,,,,,,
2011,Femei,,,,,,,
2011,,0-14,,,,,,
2011,,,15-24,,,,,
2011,,,25-34,,,,,
2011,,,35-44,,,,,
2011,,,45-54,,,,,
2011,,,55+,,,,,
2011,,,,xx,,,,
2011,,,,,,,,
2011,,,,xx,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,,,,
2011,,,,,xx,,,
2011,,,,,xx,,,
2011,,,,,xx,,,
2011,,,,,,Urban,,
2011,,,,,,Rural,,
2011,,,,,,,xx,
2011,,,,,,,xx,
2011,,,,,,,xx,
2012,,,,,,,,
2012,Bărbați,,,,,,,
2012,Femei,,,,,,,
2012,,0-14,,,,,,
2012,,,15-24,,,,,
2012,,,25-34,,,,,
2012,,,35-44,,,,,
2012,,,45-54,,,,,
2012,,,55+,,,,,
2012,,,,xx,,,,
2012,,,,,,,,
2012,,,,xx,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,,,,
2012,,,,,xx,,,
2012,,,,,xx,,,
2012,,,,,xx,,,
2012,,,,,,Urban,,
2012,,,,,,Rural,,
2012,,,,,,,xx,
2012,,,,,,,xx,
2012,,,,,,,xx,
2013,,,,,,,,
2013,Bărbați,,,,,,,
2013,Femei,,,,,,,
2013,,0-14,,,,,,
2013,,,15-24,,,,,
